Datum;Fachbedeutung;RAS-Verm;Bezeichnung;Symbolart;Landescode;;
01.11.06;#001.9229;;AK-H-Gelb/0,70/dot0;Linie;129
01.11.06;#001.9232;;AK-Gelb/0,25/dot0;Linie;132
01.11.06;#001.9233;;AK-Gelb/0,35/dot0;Linie;133
01.11.06;#001.9234;;AK-Gelb/0,50/dot0;Linie;134
01.11.06;#001.9235;;AK-Gelb/0,70/dot0;Linie;135
01.11.06;#001.9242;;AK-Orange/0,25/dot0;Linie;142
01.11.06;#001.9243;;AK-Orange/0,35/dot0;Linie;143
01.11.06;#001.9244;;AK-Orange/0,50/dot0;Linie;144
01.11.06;#001.9245;;AK-Orange/0,70/dot0;Linie;145
01.11.06;#001.9252;;AK-H-Braun/0,25/dot0;Linie;152
01.11.06;#001.9253;;AK-H-Braun/0,35/dot0;Linie;153
01.11.06;#001.9254;;AK-H-Braun/0,50/dot0;Linie;154
01.11.06;#001.9255;;AK-H-Braun/0,70/dot0;Linie;155
01.11.06;#001.9262;;AK-Braun/0,25/dot0;Linie;162
01.11.06;#001.9263;;AK-Braun/0,35/dot0;Linie;163
01.11.06;#001.9264;;AK-Braun/0,50/dot0;Linie;164
01.11.06;#001.9265;;AK-Braun/0,70/dot0;Linie;165
01.11.06;#001.9272;;AK-D-Braun/0,25/dot0;Linie;172
01.11.06;#001.9273;;AK-D-Braun/0,35/dot0;Linie;173
01.11.06;#001.9274;;AK-D-Braun/0,50/dot0;Linie;174
01.11.06;#001.9275;;AK-D-Braun/0,70/dot0;Linie;175
01.11.06;#005.9231;;AK-Schwarz/0,13/dot3;Linie;531
01.11.06;#005.9232;;AK-Schwarz/0,18/dot3;Linie;532
01.11.06;#005.9233;;AK-Schwarz/0,25/dot3;Linie;533
01.11.06;#005.9234;;AK-Schwarz/0,35/dot3;Linie;534
01.11.06;#005.9235;;AK-Schwarz/0,50/dot3;Linie;535
01.11.06;#005.9236;;AK-Schwarz/0,70/dot3;Linie;536
01.11.06;#005.9237;;AK-Schwarz/1,00/dot3;Linie;537
01.11.06;#005.9272;;AK-Rot/0,25/dot3;Linie;572
01.11.06;#005.9273;;AK-Rot/0,35/dot3;Linie;573
01.11.06;#005.9274;;AK-Rot/0,50/dot3;Linie;574
01.11.06;#005.9275;;AK-Rot/0,70/dot3;Linie;575
01.11.06;#005.9292;;AK-Violett/0,25/dot3;Linie;592
01.11.06;#005.9293;;AK-Violett/0,35/dot3;Linie;593
01.11.06;#005.9294;;AK-Violett/0,50/dot3;Linie;594
01.11.06;#005.9295;;AK-Violett/0,70/dot3;Linie;595
01.11.06;#006.9222;;AK-D-Grün/0,25/dot3;Linie;622
01.11.06;#006.9223;;AK-D-Grün/0,35/dot3;Linie;623
01.11.06;#006.9224;;AK-D-Grün/0,50/dot3;Linie;624
01.11.06;#006.9225;;AK-D-Grün/0,70/dot3;Linie;625
01.11.06;#006.9252;;AK-D-Blau/0,25/dot3;Linie;652
01.11.06;#006.9253;;AK-D-Blau/0,35/dot3;Linie;653
01.11.06;#006.9254;;AK-D-Blau/0,50/dot3;Linie;654
01.11.06;#006.9255;;AK-D-Blau/0,70/dot3;Linie;655
01.11.06;#008.9291;;AK-Schwarz/0,13/dot20;Linie;891
01.11.06;#008.9292;;AK-Schwarz/0,18/dot20;Linie;892
01.11.06;#008.9293;;AK-Schwarz/0,25/dot20;Linie;893
01.11.06;#008.9294;;AK-Schwarz/0,35/dot20;Linie;894
01.11.06;#008.9295;;AK-Schwarz/0,50/dot20;Linie;895
01.11.06;#008.9296;;AK-Schwarz/0,70/dot20;Linie;896
01.11.06;#008.9297;;AK-Schwarz/1,00/dot20;Linie;897
01.11.06;#009.9232;;AK-Rot/0,25/dot20;Linie;932
01.11.06;#009.9233;;AK-Rot/0,35/dot20;Linie;933
01.11.06;#009.9234;;AK-Rot/0,50/dot20;Linie;934
01.11.06;#009.9235;;AK-Rot/0,70/dot20;Linie;935
01.11.06;#009.9252;;AK-Violett/0,25/dot20;Linie;952
01.11.06;#009.9253;;AK-Violett/0,35/dot20;Linie;953
01.11.06;#009.9254;;AK-Violett/0,50/dot20;Linie;954
01.11.06;#009.9255;;AK-Violett/0,70/dot20;Linie;955
01.11.06;#009.9282;;AK-D-Grün/0,25/dot20;Linie;982
01.11.06;#009.9283;;AK-D-Grün/0,35/dot20;Linie;983
01.11.06;#009.9284;;AK-D-Grün/0,50/dot20;Linie;984
01.11.06;#009.9285;;AK-D-Grün/0,70/dot20;Linie;985
01.11.06;#010.9010;;BT-Asphalt;Punkt;1010
01.11.06;#010.9015;;BT-Asphalt,klein;Punkt;1015
01.11.06;#010.9020;;BT-Beton;Punkt;1020
01.11.06;#010.9030;;BT-Schotter;Punkt;1030
01.11.06;#010.9040;;BT-Pflaster;Punkt;1040
01.11.06;#010.9050;;BT-Hecke;Punkt;1050
01.11.06;#010.9055;;BT-Gebüsch;Punkt;1055
01.11.06;#010.9060;;BT-Mischwald;Punkt;1060
01.11.06;#010.9070;;BT-Laubwald;Punkt;1070
01.11.06;#010.9080;;BT-Nadelwald;Punkt;1080
01.11.06;#010.9090;;BT-Garten;Punkt;1090
01.11.06;#010.9095;;BT-Gartenland;Punkt;1095
01.11.06;#010.9212;;AK-D-Blau/0,25/dot20;Linie;1012
01.11.06;#010.9213;;AK-D-Blau/0,35/dot20;Linie;1013
01.11.06;#010.9214;;AK-D-Blau/0,50/dot20;Linie;1014
01.11.06;#010.9215;;AK-D-Blau/0,70/dot20;Linie;1015
01.11.06;#011.9000;;BT-Obstbaumanlagen;Punkt;1100
01.11.06;#011.9010;;BT-Grünland;Punkt;1110
01.11.06;#011.9020;;BT-Moor;Punkt;1120
01.11.06;#011.9030;;BT-Weingarten;Punkt;1130
01.11.06;#011.9040;;BT-Hopfenbepflanzung;Punkt;1140
01.11.06;#011.9045;;BT-Fels,Gestein;Punkt;1145
01.11.06;#011.9050;;BT-Wasserfläche;Punkt;1150
01.11.06;#011.9060;;BT-Friedhof;Punkt;1160
01.11.06;#011.9070;;BT-Pfeil;Punkt;1170
01.11.06;#011.9080;;BT-Parkplatz;Punkt;1180
01.11.06;#011.9081;;BT-Kiosk;Punkt;1181
01.11.06;#011.9082;;BT-Tankstelle;Punkt;1182
01.11.06;#011.9083;;BT-Tankstelle,Kiosk;Punkt;1183
01.11.06;#011.9084;;BT-Tankstelle,Rastanlage;Punkt;1184
01.11.06;#011.9085;;BT-Rastanlage;Punkt;1185
01.11.06;#011.9086;;BT-Rastanlage,Motel;Punkt;1186
01.11.06;#011.9087;;BT-Tank,Rast,Motel;Punkt;1187
01.11.06;#012.9000;;BT-Schalthaus;Punkt;1200
01.11.06;#012.9001;;BT-Signalbrücke;Punkt;1201
01.11.06;#012.9002;;BT-Wechselwegweiser;Punkt;1202
01.11.06;#012.9003;;BT-Infrarot Bake;Punkt;1203
01.11.06;#012.9004;;BT-Zuflußregelung;Punkt;1204
01.11.06;#012.9005;;BT-dynam. Wegweisung;Punkt;1205
01.11.06;#012.9006;;BT-dynam. Hinweisschild;Punkt;1206
01.11.06;#012.9007;;BT-seitl. WVZ;Punkt;1207
01.11.06;#012.9008;;BT-Videokamera;Punkt;1208
01.11.06;#012.9009;;BT-Überkopfsensor;Punkt;1209
01.11.06;#012.9010;;BT-Überkopfsensor Mast;Punkt;1210
01.11.06;#012.9011;;BT-Umweltstation;Punkt;1211
01.11.06;#012.9012;;BT-Windrad;Punkt;1212
01.11.06;#012.9013;;BT-Windanzeiger;Punkt;1213
01.11.06;#012.9014;;BT-Hinweisschilder;Punkt;1214
01.11.06;#012.9015;;BTSchilderbrücke 1 St;Punkt;1215
01.11.06;#012.9016;;BT-Schilderbrücke 2 St;Punkt;1216
01.11.06;#012.9017;;BT-Abfallbehälter;Punkt;1217
01.11.06;#012.9018;;BT-Nässe Glatteis Mess;Punkt;1218
01.11.06;#012.9019;;BT-Nebel, Hauptgerät;Punkt;1219
01.11.06;#012.9020;;BT-Nebel, Nebengerät;Punkt;1220
01.11.06;#012.9021;;BT-Zählstelle;Punkt;1221
01.11.06;#013.9000;;BT-Camping;Punkt;1300
01.11.06;#013.9001;;BT-Flughafen;Punkt;1301
01.11.06;#013.9002;;BT-WC;Punkt;1302
01.11.06;#013.9003;;BT-PWC;Punkt;1303
01.11.06;#019.9272;;AK-Weiß/0,25/dot0;Linie;1972
01.11.06;#019.9273;;AK-Weiß/0,35/dot0;Linie;1973
01.11.06;#019.9274;;AK-Weiß/0,50/dot0;Linie;1974
01.11.06;#019.9275;;AK-Weiß/0,70/dot0;Linie;1975
01.11.06;#019.9290;;AK-Unbestimmt;Linie;1990
01.11.06;#019.9299;;AK-Unsichtbar;Linie;1999
01.11.06;#020.9000;;BT-Bruchkante-allgemein;Linie;2000
01.11.06;#020.9001;;BT-Standpunkt;Punkt;2001
01.11.06;#020.9002;;BT-Grenzpunkt;Punkt;2002
01.11.06;#020.9003;;BG-Gebäude;Punkt;2003
01.11.06;#020.9004;;BT-Trig-Punkt;Punkt;2004
01.11.06;#020.9005;;BT-Höhenfestpunkt;Punkt;2005
01.11.06;#020.9006;;BT-Pflock;Punkt;2006
01.11.06;#020.9007;;BT-Grenzstein;Punkt;2007
01.11.06;#020.9008;;BT-Polygonpunkt;Punkt;2008
01.11.06;#020.9009;;BT-DGM-Zusatzpunkt;Punkt;2009
01.11.06;#020.9010;;BT-Achse;Punkt;2010
01.11.06;#020.9010;;BT-Achse;Linie;2010
01.11.06;#020.9010;;BT-Stützmauer;Flaeche;2010
01.11.06;#020.9011;;BT-Rinne;Punkt;2011
01.11.06;#020.9012;;BT-Bord-UK;Punkt;2012
01.11.06;#020.9013;;BT-Bord-OK;Punkt;2013
01.11.06;#020.9014;;BT-Tiefbord;Punkt;2014
01.11.06;#020.9015;;BT-Fahrbahn;Punkt;2015
01.11.06;#020.9015;;BT-Markierung unterbr.;Linie;2015
01.11.06;#020.9016;;BT-Geh-u.Radweg;Punkt;2016
01.11.06;#020.9016;;BT-Markierung;Linie;2016
01.11.06;#020.9017;;BT-Böschung-OK;Punkt;2017
01.11.06;#020.9018;;BT-Böschung-UK,Sohle;Punkt;2018
01.11.06;#020.9019;;BT-Durchlass;Punkt;2019
01.11.06;#020.9020;;BT-Gelände;Punkt;2020
01.11.06;#020.9020;;BT-Bordstein;Linie;2020
01.11.06;#020.9020;;BT-Mauer freistehend;Flaeche;2020
01.11.06;#020.9021;;BT-Nutzung;Punkt;2021
01.11.06;#020.9022;;BT-Zaun;Punkt;2022
01.11.06;#020.9023;;BT-Hecke;Punkt;2023
01.11.06;#020.9024;;BT-Mauer-UK;Punkt;2024
01.11.06;#020.9025;;BT-Mauer-OK;Punkt;2025
01.11.06;#020.9026;;BT-Stahlschutzplanke;Punkt;2026
01.11.06;#020.9027;;BT-Einfahrt;Punkt;2027
01.11.06;#020.9028;;BT-Gewässer-UK;Punkt;2028
01.11.06;#020.9029;;BT-Gewässer-OK;Punkt;2029
01.11.06;#020.9030;;BT-Eingang-Symbol;Punkt;2030
01.11.06;#020.9030;;BT-Fahrbahnrand;Linie;2030
01.11.06;#020.9031;;BT-Feldstein;Punkt;2031
01.11.06;#020.9032;;BT-Einfahrt-Symbol;Punkt;2032
01.11.06;#020.9035;;BT-Wegrand befestigt;Linie;2035
01.11.06;#020.9038;;BT-Laubbaum;Punkt;2038
01.11.06;#020.9039;;BT-Nadelbaum;Punkt;2039
01.11.06;#020.9040;;BT-Wegrand-unbefsetigt;Linie;2040
01.11.06;#020.9041;;BT-Baum2m;Punkt;2041
01.11.06;#020.9042;;BT-Baum4m;Punkt;2042
01.11.06;#020.9043;;BT-Baum6m;Punkt;2043
01.11.06;#020.9044;;BT-Baum8m;Punkt;2044
01.11.06;#020.9045;;BT-Baum10m;Punkt;2045
01.11.06;#020.9045;;BT-Geh-u.Radweg;Linie;2045
01.11.06;#020.9046;;BT-Baum12m;Punkt;2046
01.11.06;#020.9047;;BT-Baum14m;Punkt;2047
01.11.06;#020.9050;;BT-Schacht;Punkt;2050
01.11.06;#020.9050;;BT-Pflasterzeile(n);Linie;2050
01.11.06;#020.9050;;BT-Mittelstreifenüberfah;Flaeche;2050
01.11.06;#020.9051;;BT-Pumpwerk;Punkt;2051
01.11.06;#020.9052;;BT-KD-eckig;Punkt;2052
01.11.06;#020.9053;;BT-KD-rund;Punkt;2053
01.11.06;#020.9054;;BT-Sickerschacht;Punkt;2054
01.11.06;#020.9060;;BT-KD-Einlauf;Punkt;2060
01.11.06;#020.9060;;BT-Gleis;Linie;2060
01.11.06;#020.9060;;BT-Markier.Fußg.überweg;Flaeche;2060
01.11.06;#020.9061;;BT-Einlauf-mittig;Punkt;2061
01.11.06;#020.9061;;BT-Markier.Sperrfl.links;Flaeche;2061
01.11.06;#020.9062;;BT-Einlauf-Bord;Punkt;2062
01.11.06;#020.9062;;BT-Markier.Sperrfl.rechts;Flaeche;2062
01.11.06;#020.9063;;BT-Markier.Sperrfl.klein;Flaeche;2063
01.11.06;#020.9068;;BT-Wasserspiegel;Punkt;2068
01.11.06;#020.9069;;BT-Brunnen;Punkt;2069
01.11.06;#020.9070;;BT-Wasserschieber;Punkt;2070
01.11.06;#020.9072;;BT-Hydrant-UI;Punkt;2072
01.11.06;#020.9073;;BT-Hydrant-OI;Punkt;2073
01.11.06;#020.9080;;BT-Gasschieber;Punkt;2080
01.11.06;#020.9081;;BT-Gasschieber;Punkt;2081
01.11.06;#020.9085;;BT-Laterne;Punkt;2085
01.11.06;#020.9086;;BT-Kabelkasten-OI;Punkt;2086
01.11.06;#020.9087;;BT-Kabelkasten-UI;Punkt;2087
01.11.06;#020.9088;;BT-Kabelstein;Punkt;2088
01.11.06;#020.9090;;BT-Fettabscheider;Punkt;2090
01.11.06;#020.9091;;BT-Ölabscheider;Punkt;2091
01.11.06;#020.9092;;BT-Kraftstoffabscheider;Punkt;2092
01.11.06;#020.9093;;BT-Sandabscheider;Punkt;2093
01.11.06;#020.9097;;BT-Fahnenmast;Punkt;2097
01.11.06;#021.9000;;BT-Böschung;Linie;2100
01.11.06;#021.9000;;BT-Waldrand;Flaeche;2100
01.11.06;#021.9001;;BT-Böschung-Schraffur;Linie;2101
01.11.06;#021.9010;;BT-KMStein;Punkt;2110
