Datum;Fachbedeutung;RAS-Verm;Bezeichnung;Symbolart;Landescode;;
01.03.06;#000.8015;;Bankett;Linie
01.03.06;#001.8051;;Auffüllung ( eben ) ;Punkt
01.03.06;#001.8051;;Auffüllung ( eben );Linie
01.03.06;#001.8052;;Abgrabung ( eben );Punkt
01.03.06;#001.8052;;Abgrabung ( eben );Linie
01.03.06;#000.8016;;Längsmarkierung;Punkt
01.03.06;#000.8016;;Längsmarkierung;Linie
01.03.06;#001.8060;;Fahrbahnbegrenzung, nicht unterbrochene Leitlinie;Linie
01.03.06;#001.8061;;Leitlinie außerorts, außerhalb von Knotenpunkten;Linie
01.03.06;#001.8062;;Leitlinie innerorts, außerhalb von Knotenpunkten;Linie
01.03.06;#001.8063;;Leitlinie außerorts, innerhalb von Knotenpunkten;Linie
01.03.06;#001.8064;;Leitlinie innerorts, innerhalb von Knotenpunkten;Linie
01.03.06;#001.8065;;Warnlinie außerorts;Linie
01.03.06;#001.8066;;Warnlinie innerorts;Linie
01.03.06;#001.8067;;einseitige Fahrbahnbegrenzung  außerorts;Linie
01.03.06;#001.8068;;einseitige Fahrbahnbegrenzung innerorts;Linie
01.03.06;#001.8069;;Fahrstreifenbegrenzung Doppelstrich;Linie
01.03.06;#000.8017;;Sperrfläche;Punkt
01.03.06;#000.8017;;Sperrfläche;Linie
01.03.06;#001.8071;;großes Schrägstrichgatter;Linie
01.03.06;#001.8072;;kleines Schrägstrichgatter;Linie
01.03.06;#001.8073;;unterbrochene Sonderfahrstreifenbegrenzung Autobahn;Linie
01.03.06;#001.8074;;unterbrochene Sonderfahrstreifenbegrenzung außerorts;Linie
01.03.06;#001.8075;;unterbrochene Sonderfahrstreifenbegrenzung innerorts;Linie
01.03.06;#001.8076;;Wechselfahrstreifenbegrenzung außerorts;Linie
01.03.06;#001.8077;;Wechselfahrstreifenbegrenzung innerorts;Linie
01.03.06;#001.8078;;Wechselfahrstreifenbegrenzung Autobahn;Linie
01.03.06;#000.8018;;Quermarkierung;Punkt
01.03.06;#000.8018;;Quermarkierung;Linie
01.03.06;#001.8081;;Haltelinie;Linie
01.03.06;#001.8082;;Wartelinie;Linie
01.03.06;#001.8083;;Fußgängerüberweg;Linie
01.03.06;#001.8084;;Fußgängerfurt;Linie
01.03.06;#001.8085;;Radfahrerfurt;Linie
01.03.06;#001.8086;;Sonderfahrstreifenbegrenzung / Bushaltebucht;Linie
01.03.06;#001.8087;;Fahrbahnbegrenzung bei Zufahrten ( Blockung 3 / 3 );Linie
01.03.06;#001.8088;;Fahrstreifenbegrenzung bei Zufahrten ( Blockung 1,5 / 1,5 );Linie
01.03.06;#001.8089;;Grenzmarkierung Halte- und Parkverbote;Linie
01.03.06;#000.8019;;sonstige Markierung;Punkt
01.03.06;#000.8019;;sonstige Markierung;Linie
01.03.06;#001.8091;;Richtungspfeile Positionierungspunkt;Punkt
01.03.06;#001.8092;;Leitlinie Autobahn ( durchgehender Schmalstrich );Linie
01.03.06;#001.8093;;Leitlinie Autobahn ( unterbrochener Schmalstrich );Linie
01.03.06;#001.8094;;Leitlinie Autobahn, innerhalb von Knotenpunkten;Linie
01.03.06;#001.8095;;Warnlinie Autobahn;Linie
01.03.06;#001.8096;;Sonderfahrstreifenbegrenzung;Linie
01.03.06;#001.8097;;Text ( wie BUS, 30 , 50 u.ä.) Positionierungspunkt;Punkt
01.03.06;#001.8097;;Fahrbahnbegrenzungslinie unterbrochen Autobahn;Linie
01.03.06;#001.8098;;aufgemalte Verkehrszeichen und sonstiges,;Punkt
01.03.06;#001.8098;;aufgemalte Verkehrszeichen und sonstiges;Linie
01.03.06;#000.8020;;Grenzpunkt ;Punkt
01.03.06;#000.8020;;Grenzlinie;Linie
01.03.06;#002.8001;;Grenzpunkt  aufgemessen (nicht amtl. Koord.);Punkt
01.03.06;#002.8001;;Grenze der BAB ( oder anderer klas. Straße );Linie
01.03.06;#002.8102;;Grenzpunkt aus ALK (amtl. endgültige Koord.) ;Punkt
01.03.06;#002.8102;;Flurstücksgrenze aus ALK;Linie
01.03.06;#002.8103;;Grenzpunkt aus ALK ( grafische Koord.);Punkt
01.03.06;#002.8004;;Grenzpunkt aus Konstruktion/Digitalisierung;Punkt
01.03.06;#002.8105;;unvermarkter Grenzpunkt  (amtl. endgültige Koord.);Punkt
01.03.06;#002.8006;;unvermarkter Grenzpunkt  ( grafische Koord.);Punkt
01.03.06;#002.8007;;unvermarkter Grenzpunkt aus Digi./Konstr.;Punkt
01.03.06;#002.8007;;Grenze Tank- und Rast GmbH;Linie
01.03.06;#002.8108;;Grenzpunkt mit unklarer Codierung in ALK;Punkt
01.03.06;#002.8109;;Kreismittelpunkt aus ALK;Punkt
01.03.06;#002.8109;;Zuordnungspfeil für Flst.Nr. aus ALK;Linie
01.03.06;#000.8021;;Grunderwerbsgrenzen Knickpunkte;Punkt
01.03.06;#000.8021;;Grunderwerbsgrenzen;Linie
01.03.06;#002.8010;;Knickpunkt Grunderwerb Sonderflächen;Punkt
01.03.06;#002.8010;;Grenzlinie Grunderwerb Sonderfläche;Linie
01.03.06;#002.8011;;Knickpunkt Grunderwerb Bund;Punkt
01.03.06;#002.8011;;Grenzlinie Grunderwerb Bund;Linie
01.03.06;#002.8012;;Knickpunkt Grunderwerb Land;Punkt
01.03.06;#002.8012;;Grenzlinie Grunderwerb Land;Linie
01.03.06;#002.8013;;Knickpunkt Grunderwerb Kreis;Punkt
01.03.06;#002.8013;;Grenzlinie Grunderwerb Kreis;Linie
01.03.06;#002.8014;;Knickpunkt Grunderwerb Gemeinde;Punkt
01.03.06;#002.8014;;Grenzlinie Grunderwerb Gemeinde;Linie
