Datum;Fachbedeutung;RAS-Verm;Bezeichnung;Symbolart;Landescode
18.10.02;#051.F914;;Tiefbord, abgesenkter Bord, verdeckt;Linie
18.10.02;#051.F015;;Abweisende Schutzeinrichtung einseitig, rechts, verdeckt (Leitplanke);Linie
01.01.13;#051.F115;;Abweisende Schutzeinrichtung einseitig, rechts, verdeckt (Leitplanke);Linie
15.12.10;#051.F215;;Abweisende Schutzeinrichtung einseitig, rechts, verdeckt (Leitplanke);Linie
15.12.10;#051.F315;;Abweisende Schutzeinrichtung einseitig, rechts, verdeckt (Leitplanke);Linie
18.10.02;#051.F915;;Abweisende Schutzeinrichtung einseitig, rechts, verdeckt (Leitplanke);Linie
18.10.02;#051.F016;2.3.2.4;Abweisende Schutzeinrichtung zweiseitig, mittig, verdeckt (Leitplanke);Linie
01.01.13;#051.F116;2.3.2.4;Abweisende Schutzeinrichtung zweiseitig, mittig, verdeckt (Leitplanke);Linie
15.12.10;#051.F216;2.3.2.4;Abweisende Schutzeinrichtung zweiseitig, mittig, verdeckt (Leitplanke);Linie
15.12.10;#051.F316;2.3.2.4;Abweisende Schutzeinrichtung zweiseitig, mittig, verdeckt (Leitplanke);Linie
18.10.02;#051.F916;2.3.2.4;Abweisende Schutzeinrichtung zweiseitig, mittig, verdeckt (Leitplanke);Linie
18.10.02;#051.F017;;Eisenbahn, Achse, verdeckt;Linie
01.01.13;#051.F117;;Eisenbahn, Achse, verdeckt;Linie
15.12.10;#051.F217;;Eisenbahn, Achse, verdeckt;Linie
15.12.10;#051.F317;;Eisenbahn, Achse, verdeckt;Linie
18.10.02;#051.F917;;Eisenbahn, Achse, verdeckt;Linie
18.10.02;#051.F018;;Widerlager, Pfeiler;Linie
01.01.13;#051.F118;;Widerlager, Pfeiler;Linie
15.12.10;#051.F218;;Widerlager, Pfeiler;Linie
15.12.10;#051.F318;;Widerlager, Pfeiler;Linie
18.10.02;#051.F918;;Widerlager, Pfeiler;Linie
18.10.02;#051.F019;;Uferline, fest, verdeckt;Linie
01.01.13;#051.F119;;Uferline, fest, verdeckt;Linie
15.12.10;#051.F219;;Uferline, fest, verdeckt;Linie
15.12.10;#051.F319;;Uferline, fest, verdeckt;Linie
18.10.02;#051.F919;;Uferline, fest, verdeckt;Linie
18.10.02;#051.F020;;Uferlinie, veränderliche, verdeckt;Linie
01.01.13;#051.F120;;Uferlinie, veränderliche, verdeckt;Linie
15.12.10;#051.F220;;Uferlinie, veränderliche, verdeckt;Linie
15.12.10;#051.F320;;Uferlinie, veränderliche, verdeckt;Linie
18.10.02;#051.F920;;Uferlinie, veränderliche, verdeckt;Linie
18.10.02;#051.F021;;Graben, Bach < 1m, verdeckt (Außenbereich);Linie
01.01.13;#051.F121;;Graben, Bach < 1m, verdeckt (Außenbereich);Linie
15.12.10;#051.F221;;Graben, Bach < 1m, verdeckt (Außenbereich);Linie
15.12.10;#051.F321;;Graben, Bach < 1m, verdeckt (Außenbereich);Linie
18.10.02;#051.F921;;Graben, Bach < 1m, verdeckt (Außenbereich);Linie
18.10.02;#051.F022;;Wasserlaufseite > 1 m, verdeckt(Außenbereich);Linie
01.01.13;#051.F122;;Wasserlaufseite > 1 m, verdeckt(Außenbereich);Linie
15.12.10;#051.F222;;Wasserlaufseite > 1 m, verdeckt(Außenbereich);Linie
15.12.10;#051.F322;;Wasserlaufseite > 1 m, verdeckt(Außenbereich);Linie
18.10.02;#051.F922;;Wasserlaufseite > 1 m, verdeckt(Außenbereich);Linie
18.10.02;#051.F023;;Zaun, UK, verdeckt;Linie
01.01.13;#051.F123;;Zaun, UK, verdeckt;Linie
15.12.10;#051.F223;;Zaun, UK, verdeckt;Linie
15.12.10;#051.F323;;Zaun, UK, verdeckt;Linie
18.10.02;#051.F923;;Zaun, UK, verdeckt;Linie
18.10.02;#051.F024;;Mauer, UK, mit topografischer Bedeutung rechts, verdeckt;Linie
01.01.13;#051.F124;;Mauer, UK, mit topografischer Bedeutung rechts, verdeckt;Linie
15.12.10;#051.F224;;Mauer, UK, mit topografischer Bedeutung rechts, verdeckt;Linie
15.12.10;#051.F324;;Mauer, UK, mit topografischer Bedeutung rechts, verdeckt;Linie
18.10.02;#051.F924;;Mauer, UK, mit topografischer Bedeutung rechts, verdeckt;Linie
18.10.02;#051.F025;;Mauer, UK, mit topografischer Bedeutung mittig, verdeckt;Linie
01.01.13;#051.F125;;Mauer, UK, mit topografischer Bedeutung mittig, verdeckt;Linie
15.12.10;#051.F225;;Mauer, UK, mit topografischer Bedeutung mittig, verdeckt;Linie
15.12.10;#051.F325;;Mauer, UK, mit topografischer Bedeutung mittig, verdeckt;Linie
18.10.02;#051.F925;;Mauer, UK, mit topografischer Bedeutung mittig, verdeckt;Linie
18.10.02;#051.F026;;Stützmauer, Futtermauer, UK, verdeckt;Linie
01.01.13;#051.F126;;Stützmauer, Futtermauer, UK, verdeckt;Linie
15.12.10;#051.F226;;Stützmauer UK Futtermauer, verdeckt;Linie
15.12.10;#051.F326;;Stützmauer UK Futtermauer, verdeckt;Linie
18.10.02;#051.F926;;Stützmauer UK Futtermauer, verdeckt;Linie
18.10.02;#061.F001;;DGM - Bruchkanten;Linie
01.01.13;#061.F101;;DGM - Bruchkanten;Linie
15.12.10;#061.F201;;DGM - Bruchkanten;Linie
15.12.10;#061.F301;;DGM - Bruchkanten;Linie
18.10.02;#061.F901;;DGM - Bruchkanten;Linie
18.10.02;#061.F002;;DGM - Bruchkanten, geschlossen;Linie
01.01.13;#061.F102;;DGM - Bruchkanten, geschlossen;Linie
15.12.10;#061.F202;;DGM - Bruchkanten, geschlossen;Linie
15.12.10;#061.F302;;DGM - Bruchkanten, geschlossen;Linie
18.10.02;#061.F902;;DGM - Bruchkanten, geschlossen;Linie
18.10.02;#061.F003;;DGM - Böschungsoberkante;Linie
01.01.13;#061.F103;;DGM - Böschungsoberkante;Linie
15.12.10;#061.F203;;DGM - Böschungsoberkante;Linie
15.12.10;#061.F303;;DGM - Böschungsoberkante;Linie
18.10.02;#061.F903;;DGM - Böschungsoberkante;Linie
18.10.02;#061.F004;;DGM - Böschungsunterkante;Linie
01.01.13;#061.F104;;DGM - Böschungsunterkante;Linie
15.12.10;#061.F204;;DGM - Böschungsunterkante;Linie
15.12.10;#061.F304;;DGM - Böschungsunterkante;Linie
18.10.02;#061.F904;;DGM - Böschungsunterkante;Linie
18.10.02;#061.F005;;DGM - Fahrbahnbegrenzung;Linie
01.01.13;#061.F105;;DGM - Fahrbahnbegrenzung;Linie
