Datum;Fachbedeutung;RAS-Verm;Bezeichnung;Symbolart;Landescode;;
21.07.03;#227.3036;;Baufläche gemäß BauGB;Linie;p68;
;#227.3037;;Linienpunkt Wohnbaufläche;Punkt;t93;
21.07.03;#227.3037;;Wohnbaufläche;Linie;p69;
;#227.3038;;Linienpunkt Gemischte Baufläche;Punkt;u01;
21.07.03;#227.3038;;Gemischte Baufläche;Linie;p70;
;#227.3039;;Linienpunkt Gewerbegebiet;Punkt;u02;
21.07.03;#227.3039;;Gewerbegebiet;Linie;p71;
;#227.3040;;Linienpunkt Sonderbaufläche;Punkt;u03;
21.07.03;#227.3040;;Sonderbaufläche;Linie;p72;
;#227.3041;;Linienpunkt Fläche für Ver- und Entsorgungsanlagen;Punkt;u04;
21.07.03;#227.3041;;Fläche für Ver- und Entsorgungsanlagen;Linie;p73;
;#227.3042;;Linienpunkt Befestigungsart;Punkt;u05;
21.07.03;#227.3042;;Befestigungsart;Linie;p74;
;#227.3043;;Linienpunkt Asphalt;Punkt;u06;
21.07.03;#227.3043;;Asphalt;Linie;p75;
;#227.3044;;Linienpunkt Bitumen;Punkt;u07;
21.07.03;#227.3044;;Bitumen;Linie;p76;
;#227.3045;;Linienpunkt Pflaster;Punkt;u08;
21.07.03;#227.3045;;Pflaster;Linie;p77;
;#227.3046;;Linienpunkt Verbundstein;Punkt;u09;
21.07.03;#227.3046;;Verbundstein;Linie;p78;
;#227.3047;;Linienpunkt Sechseckpflaster;Punkt;u10;
21.07.03;#227.3047;;Sechseckpflaster;Linie;p79;
;#227.3048;;Linienpunkt Platten;Punkt;u11;
21.07.03;#227.3048;;Platten;Linie;p80;
;#227.3049;;Linienpunkt Schotter;Punkt;u12;
21.07.03;#227.3049;;Schotter;Linie;p81;
;#227.3050;;Linienpunkt Kies;Punkt;u13;
21.07.03;#227.3050;;Kies;Linie;p82;
;#227.3051;;Linienpunkt Sand;Punkt;u14;
21.07.03;#227.3051;;Sand;Linie;p83;
;#227.3052;;Linienpunkt befestigt aber durchlässig;Punkt;u15;
21.07.03;#227.3052;;befestigt aber durchlässig;Linie;p84;
;#227.3053;;Linienpunkt unbefestigt;Punkt;u16;
21.07.03;#227.3053;;unbefestigt;Linie;p85;
;#227.3054;;Linienpunkt Beton;Punkt;u17;
21.07.03;#227.3054;;Beton;Linie;p86;
;#227.3055;;Linienpunkt Splitt;Punkt;u18;
21.07.03;#227.3055;;Splitt;Linie;p87;
;#227.3056;;Linienpunkt Mineralgemisch;Punkt;u19;
;#227.3056;;Mineralgemisch;Linie;p88;
21.07.03;#227.3057;;Beet, Grünstreifen (Symbol);Punkt;e02;
21.07.03;#227.3058;;Sand;Punkt;e51;
20.06.02;#22B.3001;;Rand eines Gebüsches, Feldgehölzes (Gehölzrand);Punkt;s48;
20.06.02;#231.3001;;Fahrbahnmitte (-achse);Punkt;g71;
;#231.3001;;Fahrbahnmitte (-achse);Linie;k69;
24.06.02;#231.3007;;Entwässerungsrinne;Punkt;h80;
;#231.3007;;Entwässerungsrinne;Linie;l68;
24.06.02;#231.3008;;Bordstein, Randstein;Punkt;h01;
;#231.3008;;Bordstein, Randstein;Linie;l01;
24.06.02;#231.3009;;Hochbord unten;Punkt;h02;
;#231.3009;;Hochbord unten;Linie;l02;
24.06.02;#231.3010;;Hochbord, oben;Punkt;h03;
;#231.3010;;Hochbord, oben;Linie;l03;
24.06.02;#231.3011;;Hochbord -abgesenkt-;Punkt;h04;
;#231.3011;;Hochbord -abgesenkt-;Linie;l04;
24.06.02;#231.3012;;Flachbord;Punkt;h05;
;#231.3012;;Flachbord;Linie;l05;
24.06.02;#231.3013;;Bankett, Seitenstreifen;Punkt;g72;
;#231.3013;;Bankett, Seitenstreifen;Linie;k70;
24.06.02;#231.3014;;Linienpunkt Bord+Rinne (Gosse);Punkt;h09;
;#231.3014;;Bord+Rinne (Gosse);Linie;l09;
24.06.02;#231.3015;;Linienpunkt Bord+Rinne (Gosse) links;Punkt;h10;
;#231.3015;;Bord+Rinne (Gosse) links;Linie;l10;
24.06.02;#231.3016;;Linienpunkt Bord+Rinne (Gosse) rechts;Punkt;h11;
;#231.3016;;Bord+Rinne (Gosse) rechts;Linie;l11;
24.06.02;#231.3017;;Linienpunkt Bord+1-rh.Rinne (Gosse);Punkt;h12;
;#231.3017;;Bord+1-rh.Rinne (Gosse);Linie;l12;
24.06.02;#231.3018;;Linienpunkt Bord+1-rh.Rinne (Gosse) links;Punkt;h13;
;#231.3018;;Bord+1-rh.Rinne (Gosse) links;Linie;l13;
24.06.02;#231.3019;;Linienpunkt Bord+1-rh.Rinne (Gosse) rechts;Punkt;h14;
;#231.3019;;Bord+1-rh.Rinne (Gosse) rechts;Linie;l14;
24.06.02;#231.3020;;Linienpunkt Bord+2-rh.Rinne (Gosse);Punkt;h15;
;#231.3020;;Bord+2-rh.Rinne (Gosse);Linie;l15;
24.06.02;#231.3021;;Linienpunkt Bord+2-rh.Rinne (Gosse) links;Punkt;h16;
;#231.3021;;Bord+2-rh.Rinne (Gosse) links;Linie;l16;
24.06.02;#231.3022;;Linienpunkt Bord+2-rh.Rinne (Gosse) rechts;Punkt;h17;
;#231.3022;;Bord+2-rh.Rinne (Gosse) rechts;Linie;l17;
24.06.02;#231.3023;;Linienpunkt Bord+3-rh.Rinne (Gosse);Punkt;h18;
;#231.3023;;Bord+3-rh.Rinne (Gosse);Linie;l18;
24.06.02;#231.3024;;Linienpunkt Bord+3-rh.Rinne (Gosse) links;Punkt;h19;
;#231.3024;;Bord+3-rh.Rinne (Gosse) links;Linie;l19;
24.06.02;#231.3025;;Linienpunkt Bord+3-rh.Rinne (Gosse) rechts;Punkt;h20;
;#231.3025;;Bord+3-rh.Rinne (Gosse) rechts;Linie;l20;
24.06.02;#231.3026;;Linienpunkt Bord+4-rh.Rinne (Gosse);Punkt;h21;
;#231.3026;;Bord+4-rh.Rinne (Gosse);Linie;l21;
24.06.02;#231.3027;;Linienpunkt Bord+4-rh.Rinne (Gosse) links;Punkt;h22;
;#231.3027;;Bord+4-rh.Rinne (Gosse) links;Linie;l22;
24.06.02;#231.3028;;Linienpunkt Bord+4-rh.Rinne (Gosse) rechts;Punkt;h23;
;#231.3028;;Bord+4-rh.Rinne (Gosse) rechts;Linie;l23;
24.06.02;#231.3029;;Linienpunkt Bord+5-rh.Rinne (Gosse);Punkt;h24;
;#231.3029;;Bord+5-rh.Rinne (Gosse);Linie;l24;
24.06.02;#231.3030;;Linienpunkt Bord+5-rh.Rinne (Gosse) links;Punkt;h25;
;#231.3030;;Bord+5-rh.Rinne (Gosse) links;Linie;l25;
24.06.02;#231.3031;;Linienpunkt Bord+5-rh.Rinne (Gosse) rechts;Punkt;h26;
;#231.3031;;Bord+5-rh.Rinne (Gosse) rechts;Linie;l26;
24.06.02;#231.3032;;Linienpunkt Randstreifen befestigt;Punkt;h27;
;#231.3032;;Randstreifen befestigt;Linie;l27;
24.06.02;#231.3033;;Randstein, Rasenbord;Punkt;h06;
;#231.3033;;Randstein, Rasenbord;Linie;l06;
24.06.02;#231.3034;;Pflasterkante, Linienpunkt;Punkt;h08;
