Datum;Fachbedeutung;RAS-Verm;Bezeichnung;Symbolart;Landescode;;
07.10.02;3441.E001;;Oberirdische Leitung der Elektrizitätsversorgung;Linie;142
07.10.02;3442.E001;;Unterirdische Leitung der Elektrizitätsversorgung;Linie;242
17.09.02;3443.E001;;Merkzeichen für Elektrizitätsversorgung;Punkt;s556
07.10.02;3447.E001;;Trafohaus, Umformer;Punkt;s1412
07.10.02;3447.E001;;Trafohaus, Umformer;Linie;39
16.09.02;3447.E002;;Trafohaus;Linie;30
18.09.02;3451.E001;;Stahlrohrmast;Punkt;s1083
18.09.02;3452.E001;;Stahlbetonmast;Punkt;s1080
18.09.02;3453.E001;;Stahlgittermast;Punkt;s1237
07.10.02;3455.E001;;Doppelmast;Punkt;s1100
18.09.02;3456.E001;;Holzmast;Punkt;s1077
07.10.02;3464.E001;;Oberirdische Rohölleitung;Linie;146
07.10.02;3465.E001;;Unterirdische Rohölleitung;Linie;246
07.10.02;3474.E001;;Schacht - Heizungsanlage;Punkt;s1321
07.10.02;3475.E001;;Oberirdische Fernheizleitung;Linie;145
07.10.02;3476.E001;;Unterirdische Fernheizleitung;Linie;245
17.09.02;3477.E001;;Merkzeichen für Fernheizung;Punkt;s559
07.10.02;3481.E001;;Oberirdische Leitung des Fernmeldewesens;Linie;143
07.10.02;3482.E001;;Unterirdische Leitung des Fernmeldewesens;Linie;243
17.09.02;3483.E001;;Merkstein für Fernmeldewesen;Punkt;s558
07.10.02;3484.E001;;Schacht - Fernmelde / Post;Punkt;s1322
07.10.02;3485.E001;;Funkmast;Punkt;s1323
07.10.02;3486.E001;;Telefonzelle;Punkt;s1311
20.06.03;3489.0000;2.5.6.1;Kabelkasten, Schaltkasten;Punkt;F40
17.09.02;3489.E001;;Schaltkasten, Verteilerkasten;Punkt;s565
18.09.02;3489.E002;;Doppelschacht;Punkt;s1218
07.10.02;3495.E001;;Windrad;Punkt;s1324
07.10.02;3498.E001;;Schilderpfahl;Punkt;s1318
