Datum;Fachbedeutung;RAS-Verm;Bezeichnung;Symbolart;Landescode;Schichtname;Schichtbezeichnung;Art;;;;;
03.02.16;Best.1752;2.5.6.1;Kabelkasten, Schaltkasten, ;Punkt;1752;17Leitung;Ver- und Entsorgung Dritter;Bestandsplan;;;;;
03.02.16;Best.1753;;Transformator;Punkt;1753;17Leitung;Ver- und Entsorgung Dritter;Bestandsplan;;;;;
03.02.16;Best.1754;2.5.6.;Umformer, Transformator;Punkt;1754;17Leitung;Ver- und Entsorgung Dritter;Bestandsplan;;;;;
03.02.16;Best.1754;;Umformer, Transformator;Linie;1754;17Leitung;Ver- und Entsorgung Dritter;Bestandsplan;;;;;
03.02.16;Best.1756;;Entlüftung / Armaturen allgemein;Punkt;1756;17Leitung;Ver- und Entsorgung Dritter;Bestandsplan;;;;;
03.02.16;Best.1856;;Entlüftung / Armaturen allgemein;Text;1856;18T_Leitung;Textschicht für Schicht 17Leitung;Bestandsplan;;;;;
03.02.16;Best.1757;2.5.6.4;Gaslaterne;Punkt;1757;17Leitung;Ver- und Entsorgung Dritter;Bestandsplan;;;;;
03.02.16;Best.1760;;Schutzrohr (bzw. Leerrohr);Punkt;1760;17Leitung;Ver- und Entsorgung Dritter;Bestandsplan;;;;;
03.02.16;Best.1760;;Schutzrohr (bzw. Leerrohr);Linie;1760;17Leitung;Ver- und Entsorgung Dritter;Bestandsplan;;;;;
03.02.16;Best.1860;;Schutzrohr (bzw. Leerrohr);Text;1860;18T_Leitung;Textschicht für Schicht 17Leitung;Bestandsplan;;;;;
03.02.16;Best.1761;2.5.1.13;Schutzrohr (bzw. Leerrohr);Punkt;1761;17Leitung;Ver- und Entsorgung Dritter;Bestandsplan;;;;;
03.02.16;Best.1761;;Schutzrohr (bzw. Leerrohr);Linie;1761;17Leitung;Ver- und Entsorgung Dritter;Bestandsplan;;;;;
03.02.16;Best.1861;;Schutzrohr (bzw. Leerrohr);Text;1861;18T_Leitung;Textschicht für Schicht 17Leitung;Bestandsplan;;;;;
03.02.16;Best.1770;;Antennenkabel;Punkt;1770;17Leitung;Ver- und Entsorgung Dritter;Bestandsplan;;;;;
03.02.16;Best.1770;;Antennenkabel;Linie;1770;17Leitung;Ver- und Entsorgung Dritter;Bestandsplan;;;;;
03.02.16;Best.1870;;Antennenkabel;Text;1870;18T_Leitung;Textschicht für Schicht 17Leitung;Bestandsplan;;;;;
03.02.16;Best.1772;;Regenwasserleitung;Punkt;1772;17Leitung;Ver- und Entsorgung Dritter;Bestandsplan;;;;;
03.02.16;Best.1772;;Regenwasserleitung;Linie;1772;17Leitung;Ver- und Entsorgung Dritter;Bestandsplan;;;;;
03.02.16;Best.1872;;Regenwasserleitung;Text;1872;18T_Leitung;Textschicht für Schicht 17Leitung;Bestandsplan;;;;;
03.02.16;Best.1773;;Meliorationsleitung;Punkt;1773;17Leitung;Ver- und Entsorgung Dritter;Bestandsplan;;;;;
03.02.16;Best.1773;;Meliorationsleitung;Linie;1773;17Leitung;Ver- und Entsorgung Dritter;Bestandsplan;;;;;
03.02.16;Best.1873;;Meliorationsleitung;Text;1873;18T_Leitung;Textschicht für Schicht 17Leitung;Bestandsplan;;;;;
03.02.16;Best.1774;;Brauchwasserleitung;Punkt;1774;17Leitung;Ver- und Entsorgung Dritter;Bestandsplan;;;;;
03.02.16;Best.1774;;Brauchwasserleitung;Linie;1774;17Leitung;Ver- und Entsorgung Dritter;Bestandsplan;;;;;
03.02.16;Best.1874;;Brauchwasserleitung;Text;1874;18T_Leitung;Textschicht für Schicht 17Leitung;Bestandsplan;;;;;
03.02.16;Best.1775;;Mischwasserleitung;Punkt;1775;17Leitung;Ver- und Entsorgung Dritter;Bestandsplan;;;;;
03.02.16;Best.1775;;Mischwasserleitung;Linie;1775;17Leitung;Ver- und Entsorgung Dritter;Bestandsplan;;;;;
03.02.16;Best.1875;;Mischwasserleitung;Text;1875;18T_Leitung;Textschicht für Schicht 17Leitung;Bestandsplan;;;;;
03.02.16;Best.1776;2.5.2.13;Fließrichtungspfeil, Transportrichtungspfeil;Punkt;1776;17Leitung;Ver- und Entsorgung Dritter;Bestandsplan;;;;;
03.02.16;Best.1897;;sonstiger Leitungstext;Text;1897;18T_Leitung;Textschicht für Schicht 17Leitung;Bestandsplan;;;;;
03.02.16;Best.1798;;Leitungsfeldbegrenzung für Leitungen unterschiedlicher Medien;Punkt;1798;17Leitung;Ver- und Entsorgung Dritter;Bestandsplan;;;;;
03.02.16;Best.1798;;Leitungsfeldbegrenzung für Leitungen unterschiedlicher Medien;Linie;1798;17Leitung;Ver- und Entsorgung Dritter;Bestandsplan;;;;;
03.02.16;Best.1899;;Leitungsfeld Rahmen, Bezugslinie;Punkt;1899;18T_Leitung;Textschicht für Schicht 17Leitung;Bestandsplan;;;;;
03.02.16;Best.1899;;Leitungsfeld Rahmen, Bezugslinie;Linie;1899;18T_Leitung;Textschicht für Schicht 17Leitung;Bestandsplan;;;;;
03.02.16;Best.1899;;Leitungsfeld Rahmen, Bezugslinie;Text;1899;18T_Leitung;Textschicht für Schicht 17Leitung;Bestandsplan;;;;;
03.02.16;Best.1901;;Fernmeldeleitung (unterirdisch) LASuV;Punkt;1901;19LeitungLASuV;Ver- und Entsorgung LASuV;Bestandsplan;;;;;
03.02.16;Best.1901;;Fernmeldeleitung (unterirdisch) LASuV;Linie;1901;19LeitungLASuV;Ver- und Entsorgung LASuV;Bestandsplan;;;;;
03.02.16;Best.2001;;Fernmeldeleitung (unterirdisch) LASuV;Text;2001;20T_LeitungLASuV;Textschicht für Schicht 19LeitungLASuV;Bestandsplan;;;;;
03.02.16;Best.1902;2.5.8.5;Notrufsäule LASuV;Punkt;1902;19LeitungLASuV;Ver- und Entsorgung LASuV;Bestandsplan;;;;;
03.02.16;Best.1903;;Kabelhaus LASuV;Punkt;1903;19LeitungLASuV;Ver- und Entsorgung LASuV;Bestandsplan;;;;;
03.02.16;Best.1903;;Kabelhaus LASuV;Linie;1903;19LeitungLASuV;Ver- und Entsorgung LASuV;Bestandsplan;;;;;
03.02.16;Best.2003;;Kabelhaus LASuV;Text;2003;20T_LeitungLASuV;Textschicht für Schicht 19LeitungLASuV;Bestandsplan;;;;;
03.02.16;Best.1909;;Glättemeldeanlage LASuV;Punkt;1909;19LeitungLASuV;Ver- und Entsorgung LASuV;Bestandsplan;;;;;
03.02.16;Best.1909;;Glättemeldeanlage LASuV;Linie;1909;19LeitungLASuV;Ver- und Entsorgung LASuV;Bestandsplan;;;;;
03.02.16;Best.2009;;Glättemeldeanlage LASuV;Text;2009;20T_LeitungLASuV;Textschicht für Schicht 19LeitungLASuV;Bestandsplan;;;;;
03.02.16;Best.1910;;Zählstelle  LASuV;Punkt;1910;19LeitungLASuV;Ver- und Entsorgung LASuV;Bestandsplan;;;;;
03.02.16;Best.1910;;Zählstelle  LASuV;Linie;1910;19LeitungLASuV;Ver- und Entsorgung LASuV;Bestandsplan;;;;;
03.02.16;Best.2010;;Zählstelle  LASuV;Text;2010;20T_LeitungLASuV;Textschicht für Schicht 19LeitungLASuV;Bestandsplan;;;;;
03.02.16;Best.1919;;Regenwasserleitung LASuV;Punkt;1919;19LeitungLASuV;Ver- und Entsorgung LASuV;Bestandsplan;;;;;
03.02.16;Best.1919;;Regenwasserleitung LASuV;Linie;1919;19LeitungLASuV;Ver- und Entsorgung LASuV;Bestandsplan;;;;;
03.02.16;Best.2019;;Regenwasserleitung LASuV;Text;2019;20T_LeitungLASuV;Textschicht für Schicht 19LeitungLASuV;Bestandsplan;;;;;
03.02.16;Best.1920;;Mischwasserleitung LASuV;Punkt;1920;19LeitungLASuV;Ver- und Entsorgung LASuV;Bestandsplan;;;;;
03.02.16;Best.1920;;Mischwasserleitung LASuV;Linie;1920;19LeitungLASuV;Ver- und Entsorgung LASuV;Bestandsplan;;;;;
03.02.16;Best.2020;;Mischwasserleitung LASuV;Text;2020;20T_LeitungLASuV;Textschicht für Schicht 19LeitungLASuV;Bestandsplan;;;;;
03.02.16;Best.1921;;Trinkwasserleitung (unterirdisch) LASuV;Punkt;1921;19LeitungLASuV;Ver- und Entsorgung LASuV;Bestandsplan;;;;;
03.02.16;Best.1921;;Trinkwasserleitung (unterirdisch) LASuV;Linie;1921;19LeitungLASuV;Ver- und Entsorgung LASuV;Bestandsplan;;;;;
03.02.16;Best.2021;;Trinkwasserleitung (unterirdisch) LASuV;Text;2021;20T_LeitungLASuV;Textschicht für Schicht 19LeitungLASuV;Bestandsplan;;;;;
03.02.16;Best.1922;;Abwasserleitung (unterirdisch) LASuV;Punkt;1922;19LeitungLASuV;Ver- und Entsorgung LASuV;Bestandsplan;;;;;
03.02.16;Best.1922;;Abwasserleitung (unterirdisch) LASuV;Linie;1922;19LeitungLASuV;Ver- und Entsorgung LASuV;Bestandsplan;;;;;
03.02.16;Best.2022;;Abwasserleitung (unterirdisch) LASuV;Text;2022;20T_LeitungLASuV;Textschicht für Schicht 19LeitungLASuV;Bestandsplan;;;;;
03.02.16;Best.1923;;Gasleitung (unterirdisch) LASuV;Punkt;1923;19LeitungLASuV;Ver- und Entsorgung LASuV;Bestandsplan;;;;;
03.02.16;Best.1923;;Gasleitung (unterirdisch) LASuV;Linie;1923;19LeitungLASuV;Ver- und Entsorgung LASuV;Bestandsplan;;;;;
03.02.16;Best.2023;;Gasleitung (unterirdisch) LASuV;Text;2023;20T_LeitungLASuV;Textschicht für Schicht 19LeitungLASuV;Bestandsplan;;;;;
03.02.16;Best.1924;;Fernheizungsleitung (unterirdisch) LASuV;Punkt;1924;19LeitungLASuV;Ver- und Entsorgung LASuV;Bestandsplan;;;;;
03.02.16;Best.1924;;Fernheizungsleitung (unterirdisch) LASuV;Linie;1924;19LeitungLASuV;Ver- und Entsorgung LASuV;Bestandsplan;;;;;
03.02.16;Best.2024;;Fernheizungsleitung (unterirdisch) LASuV;Text;2024;20T_LeitungLASuV;Textschicht für Schicht 19LeitungLASuV;Bestandsplan;;;;;
03.02.16;Best.1925;;Elektroleitung (unterirdisch, U  ? 1 kV) LASuV;Punkt;1925;19LeitungLASuV;Ver- und Entsorgung LASuV;Bestandsplan;;;;;
03.02.16;Best.1925;;Elektroleitung (unterirdisch, U  ? 1 kV) LASuV;Linie;1925;19LeitungLASuV;Ver- und Entsorgung LASuV;Bestandsplan;;;;;
03.02.16;Best.2025;;Elektroleitung (unterirdisch, U  ? 1 kV) LASuV;Text;2025;20T_LeitungLASuV;Textschicht für Schicht 19LeitungLASuV;Bestandsplan;;;;;
03.02.16;Best.1926;;Elektroleitung (unterirdisch, U > 1 kV) LASuV;Punkt;1926;19LeitungLASuV;Ver- und Entsorgung LASuV;Bestandsplan;;;;;
03.02.16;Best.1926;;Elektroleitung (unterirdisch, U > 1 kV) LASuV;Linie;1926;19LeitungLASuV;Ver- und Entsorgung LASuV;Bestandsplan;;;;;
03.02.16;Best.2026;;Elektroleitung (unterirdisch, U > 1 kV) LASuV;Text;2026;20T_LeitungLASuV;Textschicht für Schicht 19LeitungLASuV;Bestandsplan;;;;;
03.02.16;Best.1927;;Steuerkabel LASuV;Punkt;1927;19LeitungLASuV;Ver- und Entsorgung LASuV;Bestandsplan;;;;;
03.02.16;Best.1927;;Steuerkabel LASuV;Linie;1927;19LeitungLASuV;Ver- und Entsorgung LASuV;Bestandsplan;;;;;
03.02.16;Best.2027;;Steuerkabel LASuV;Text;2027;20T_LeitungLASuV;Textschicht für Schicht 19LeitungLASuV;Bestandsplan;;;;;
03.02.16;Best.1928;;(Symbol f. Spannung > 1 kV) LASuV;Punkt;1928;19LeitungLASuV;Ver- und Entsorgung LASuV;Bestandsplan;;;;;
03.02.16;Best.1929;2.5.2.13;Fließrichtungspfeil, Transportrichtungspfeil  LASuV;Punkt;1929;19LeitungLASuV;Ver- und Entsorgung LASuV;Bestandsplan;;;;;
03.02.16;Best.1931;2.5.3.;Trinkwasserleitung Merkzeichen / Schilderpfahl LASuV;Punkt;1931;19LeitungLASuV;Ver- und Entsorgung LASuV;Bestandsplan;;;;;
03.02.16;Best.1932;2.5.3.;Abwasserleitung Merkzeichen / Schilderpfahl LASuV;Punkt;1932;19LeitungLASuV;Ver- und Entsorgung LASuV;Bestandsplan;;;;;
03.02.16;Best.1933;2.5.3.;Gasleitung Merkzeichen / Schilderpfahl LASuV;Punkt;1933;19LeitungLASuV;Ver- und Entsorgung LASuV;Bestandsplan;;;;;
03.02.16;Best.1934;2.5.3.;Fernheizleitung Merkzeichen / Schilderpfahl LASuV;Punkt;1934;19LeitungLASuV;Ver- und Entsorgung LASuV;Bestandsplan;;;;;
03.02.16;Best.1935;2.5.3.;Elektroleitung (U  ? 1 kV) Merkzeichen / Schilderpfahl LASuV;Punkt;1935;19LeitungLASuV;Ver- und Entsorgung LASuV;Bestandsplan;;;;;
03.02.16;Best.1936;2.5.3.;Elektroleitung (U > 1 kV) Merkzeichen / Schilderpfahl LASuV;Punkt;1936;19LeitungLASuV;Ver- und Entsorgung LASuV;Bestandsplan;;;;;
03.02.16;Best.1937;2.5.3.;Fernmeldeleitung Merkzeichen / Schilderpfahl LASuV;Punkt;1937;19LeitungLASuV;Ver- und Entsorgung LASuV;Bestandsplan;;;;;
03.02.16;Best.1938;2.5.3.;Merkzeichen sonstiges Symbol LASuV;Punkt;1938;19LeitungLASuV;Ver- und Entsorgung LASuV;Bestandsplan;;;;;
03.02.16;Best.2038;;Merkzeichen sonstiges Symbol LASuV;Text;2038;20T_LeitungLASuV;Textschicht für Schicht 19LeitungLASuV;Bestandsplan;;;;;
03.02.16;Best.1939;;Entlüftung / Armaturen allgemein LASuV;Punkt;1939;19LeitungLASuV;Ver- und Entsorgung LASuV;Bestandsplan;;;;;
03.02.16;Best.1939;;Entlüftung / Armaturen allgemein LASuV;Linie;1939;19LeitungLASuV;Ver- und Entsorgung LASuV;Bestandsplan;;;;;
03.02.16;Best.2039;;Entlüftung / Armaturen allgemein LASuV;Text;2039;20T_LeitungLASuV;Textschicht für Schicht 19LeitungLASuV;Bestandsplan;;;;;
03.02.16;Best.1940;2.5.3.12;Schilderpfahl  LASuV;Punkt;1940;19LeitungLASuV;Ver- und Entsorgung LASuV;Bestandsplan;;;;;
03.02.16;Best.2040;;Schilderpfahl  LASuV;Text;2040;20T_LeitungLASuV;Textschicht für Schicht 19LeitungLASuV;Bestandsplan;;;;;
03.02.16;Best.1941;2.5.6.3;Lampe LASuV;Punkt;1941;19LeitungLASuV;Ver- und Entsorgung LASuV;Bestandsplan;;;;;
03.02.16;Best.1942;2.5.4.;Stahlrohrmast LASuV;Punkt;1942;19LeitungLASuV;Ver- und Entsorgung LASuV;Bestandsplan;;;;;
03.02.16;Best.1943;2.5.4.;Stahlbetonmast LASuV;Punkt;1943;19LeitungLASuV;Ver- und Entsorgung LASuV;Bestandsplan;;;;;
03.02.16;Best.1944;2.5.4.;Holzmast LASuV;Punkt;1944;19LeitungLASuV;Ver- und Entsorgung LASuV;Bestandsplan;;;;;
03.02.16;Best.1945;2.5.4.;Funkmast LASuV;Punkt;1945;19LeitungLASuV;Ver- und Entsorgung LASuV;Bestandsplan;;;;;
03.02.16;Best.1946;2.5.4.;Stahlgittermast LASuV;Punkt;1946;19LeitungLASuV;Ver- und Entsorgung LASuV;Bestandsplan;;;;;
03.02.16;Best.1950;2.5.6.;Umformer, Transformator LASuV;Punkt;1950;19LeitungLASuV;Ver- und Entsorgung LASuV;Bestandsplan;;;;;
03.02.16;Best.1950;;Umformer, Transformator LASuV;Linie;1950;19LeitungLASuV;Ver- und Entsorgung LASuV;Bestandsplan;;;;;
03.02.16;Best.1952;2.5.6.;Kabelkasten, Schaltkasten LASuV;Punkt;1952;19LeitungLASuV;Ver- und Entsorgung LASuV;Bestandsplan;;;;;
03.02.16;Best.1951;;Transformator LASuV;Punkt;1951;19LeitungLASuV;Ver- und Entsorgung LASuV;Bestandsplan;;;;;
03.02.16;Best.1953;2.5.5.;Oberflurhydrant LASuV;Punkt;1953;19LeitungLASuV;Ver- und Entsorgung LASuV;Bestandsplan;;;;;
03.02.16;Best.1954;2.5.5.;Unterflurhydrant LASuV;Punkt;1954;19LeitungLASuV;Ver- und Entsorgung LASuV;Bestandsplan;;;;;
03.02.16;Best.1955;2.5.3.;Gasschieber LASuV;Punkt;1955;19LeitungLASuV;Ver- und Entsorgung LASuV;Bestandsplan;;;;;
03.02.16;Best.1956;2.5.3.;Wasserschieber LASuV;Punkt;1956;19LeitungLASuV;Ver- und Entsorgung LASuV;Bestandsplan;;;;;
03.02.16;Best.1957;2.5.3.;Absperrschieber sonstiger LASuV;Punkt;1957;19LeitungLASuV;Ver- und Entsorgung LASuV;Bestandsplan;;;;;
03.02.16;Best.2057;;Absperrschieber sonstiger LASuV;Text;2057;20T_LeitungLASuV;Textschicht für Schicht 19LeitungLASuV;Bestandsplan;;;;;
03.02.16;Best.1958;2.5.;Einstiegsschacht (rund) LASuV;Punkt;1958;19LeitungLASuV;Ver- und Entsorgung LASuV;Bestandsplan;;;;;
03.02.16;Best.1958;;Einstiegsschacht (rund) LASuV;Linie;1958;19LeitungLASuV;Ver- und Entsorgung LASuV;Bestandsplan;;;;;
03.02.16;Best.2058;;Einstiegsschacht (rund) LASuV;Text;2058;20T_LeitungLASuV;Textschicht für Schicht 19LeitungLASuV;Bestandsplan;;;;;
03.02.16;Best.1959;;Einstiegsschacht (eckig) LASuV;Punkt;1959;19LeitungLASuV;Ver- und Entsorgung LASuV;Bestandsplan;;;;;
03.02.16;Best.1959;;Einstiegsschacht (eckig) LASuV;Linie;1959;19LeitungLASuV;Ver- und Entsorgung LASuV;Bestandsplan;;;;;
03.02.16;Best.2059;;Einstiegsschacht (eckig) LASuV;Text;2059;20T_LeitungLASuV;Textschicht für Schicht 19LeitungLASuV;Bestandsplan;;;;;
03.02.16;Best.1960;;Pumpanlage LASuV;Punkt;1960;19LeitungLASuV;Ver- und Entsorgung LASuV;Bestandsplan;;;;;
03.02.16;Best.1960;;Pumpanlage LASuV;Linie;1960;19LeitungLASuV;Ver- und Entsorgung LASuV;Bestandsplan;;;;;
03.02.16;Best.2060;;Pumpanlage LASuV;Text;2060;20T_LeitungLASuV;Textschicht für Schicht 19LeitungLASuV;Bestandsplan;;;;;
03.02.16;Best.1970;;Schutzrohr (bzw. Leerrohr) LASuV;Punkt;1970;19LeitungLASuV;Ver- und Entsorgung LASuV;Bestandsplan;;;;;
03.02.16;Best.1970;;Schutzrohr (bzw. Leerrohr) LASuV;Linie;1970;19LeitungLASuV;Ver- und Entsorgung LASuV;Bestandsplan;;;;;
03.02.16;Best.2070;;Schutzrohr (bzw. Leerrohr) LASuV;Text;2070;20T_LeitungLASuV;Textschicht für Schicht 19LeitungLASuV;Bestandsplan;;;;;
03.02.16;Best.1971;2.5.1.13;Schutzrohr (bzw. Leerrohr) LASuV;Punkt;1971;19LeitungLASuV;Ver- und Entsorgung LASuV;Bestandsplan;;;;;
03.02.16;Best.1971;;Schutzrohr (bzw. Leerrohr) LASuV;Linie;1971;19LeitungLASuV;Ver- und Entsorgung LASuV;Bestandsplan;;;;;
03.02.16;Best.2071;;Schutzrohr (bzw. Leerrohr) LASuV;Text;2071;20T_LeitungLASuV;Textschicht für Schicht 19LeitungLASuV;Bestandsplan;;;;;
03.02.16;Best.2097;;sonstiger Leitungstext;Text;2097;20T_LeitungLASuV;Textschicht für Schicht 19LeitungLASuV;Bestandsplan;;;;;
03.02.16;Best.1998;;Leitungsfeldbegrenzung für Leitungen unterschiedlicher Medien LASuV;Punkt;1998;19LeitungLASuV;Ver- und Entsorgung LASuV;Bestandsplan;;;;;
03.02.16;Best.1998;;Leitungsfeldbegrenzung für Leitungen unterschiedlicher Medien LASuV;Linie;1998;19LeitungLASuV;Ver- und Entsorgung LASuV;Bestandsplan;;;;;
03.02.16;Best.2099;;Leitungsfeld Rahmen, Bezugslinie LASuV;Punkt;2099;20T_LeitungLASuV;Textschicht für Schicht 19LeitungLASuV;Bestandsplan;;;;;
03.02.16;Best.2099;;Leitungsfeld Rahmen, Bezugslinie LASuV;Linie;2099;20T_LeitungLASuV;Textschicht für Schicht 19LeitungLASuV;Bestandsplan;;;;;
03.02.16;Best.2099;;Leitungsfeld Rahmen, Bezugslinie LASuV;Text;2099;20T_LeitungLASuV;Textschicht für Schicht 19LeitungLASuV;Bestandsplan;;;;;
03.02.16;Best.2101;;Entwässerungsmulde BAB;Punkt;2101;21Entwaesserung;Entwässerungsanlagen der BAB;Bestandsplan;;;;;
03.02.16;Best.2101;;Entwässerungsmulde BAB;Linie;2101;21Entwaesserung;Entwässerungsanlagen der BAB;Bestandsplan;;;;;
03.02.16;Best.2199;;Entwässerungsmulde verdeckt BAB;Linie;2199;21Entwaesserung;Entwässerungsanlagen der BAB;Bestandsplan;;;;;
03.02.16;Best.2102;;Ablaufschacht BAB;Punkt;2102;21Entwaesserung;Entwässerungsanlagen der BAB;Bestandsplan;;;;;
03.02.16;Best.2202;;Ablaufschacht BAB;Text;2202;22T_Entwaesserung;Textschicht für Schicht 21Entwaesserung;Bestandsplan;;;;;
03.02.16;Best.2194;;Einlauf (Ablaufschacht) BAB;Punkt;2194;21Entwaesserung;Entwässerungsanlagen der BAB;Bestandsplan;;;;;
03.02.16;Best.2294;;Einlauf (Ablaufschacht) BAB;Text;2294;22T_Entwaesserung;Textschicht für Schicht 21Entwaesserung;Bestandsplan;;;;;
03.02.16;Best.2195;;Auslauf (Ablaufschacht) BAB;Punkt;2195;21Entwaesserung;Entwässerungsanlagen der BAB;Bestandsplan;;;;;
03.02.16;Best.2295;;Auslauf (Ablaufschacht) BAB;Text;2295;22T_Entwaesserung;Textschicht für Schicht 21Entwaesserung;Bestandsplan;;;;;
03.02.16;Best.2199;;Fließsohle (Ablaufschacht) BAB;Punkt;2199;21Entwaesserung;Entwässerungsanlagen der BAB;Bestandsplan;;;;;
03.02.16;Best.2299;;Fließsohle (Ablaufschacht) BAB;Text;2299;22T_Entwaesserung;Textschicht für Schicht 21Entwaesserung;Bestandsplan;;;;;
03.02.16;Best.2103;;Fließrichtungspfeil Entwässerungsmulde BAB;Punkt;2103;21Entwaesserung;Entwässerungsanlagen der BAB;Bestandsplan;;;;;
03.02.16;Best.2104;;Regenwasser (Sammelleitung)  BAB;Punkt;2104;21Entwaesserung;Entwässerungsanlagen der BAB;Bestandsplan;;;;;
03.02.16;Best.2104;;Regenwasser (Sammelleitung)  BAB;Linie;2104;21Entwaesserung;Entwässerungsanlagen der BAB;Bestandsplan;;;;;
03.02.16;Best.2204;;Regenwasser (Sammelleitung)  BAB;Text;2204;22T_Entwaesserung;Textschicht für Schicht 21Entwaesserung;Bestandsplan;;;;;
03.02.16;Best.2204;;Regenwasser (Sammelleitung)  BAB Textbezugslinie;Linie;2204;22T_Entwaesserung;Textschicht für Schicht 21Entwaesserung;Bestandsplan;;;;;
03.02.16;Best.2105;;Regenwasser (Sickerleitung) BAB;Punkt;2105;21Entwaesserung;Entwässerungsanlagen der BAB;Bestandsplan;;;;;
03.02.16;Best.2105;;Regenwasser (Sickerleitung) BAB;Linie;2105;21Entwaesserung;Entwässerungsanlagen der BAB;Bestandsplan;;;;;
03.02.16;Best.2205;;Regenwasser (Sickerleitung) BAB;Text;2205;22T_Entwaesserung;Textschicht für Schicht 21Entwaesserung;Bestandsplan;;;;;
03.02.16;Best.2205;;Regenwasser (Sickerleitung) BAB Textbezugslinie;Linie;2205;22T_Entwaesserung;Textschicht für Schicht 21Entwaesserung;Bestandsplan;;;;;
03.02.16;Best.2106;;Böschungsrinne, Raubettmulde BAB;Punkt;2106;21Entwaesserung;Entwässerungsanlagen der BAB;Bestandsplan;;;;;
03.02.16;Best.2106;;Böschungsrinne, Raubettmulde BAB;Linie;2106;21Entwaesserung;Entwässerungsanlagen der BAB;Bestandsplan;;;;;
03.02.16;Best.2107;2.5.5.;Straßenablauf, Fußpunkt aufgemessen BAB;Punkt;2107;21Entwaesserung;Entwässerungsanlagen der BAB;Bestandsplan;;;;;
03.02.16;Best.2108;2.5.5.;Anlage mit Abscheider BAB;Punkt;2108;21Entwaesserung;Entwässerungsanlagen der BAB;Bestandsplan;;;;;
03.02.16;Best.2208;;Anlage mit Abscheider BAB;Text;2208;22T_Entwaesserung;Textschicht für Schicht 21Entwaesserung;Bestandsplan;;;;;
03.02.16;Best.2109;;Prüfschacht BAB;Punkt;2109;21Entwaesserung;Entwässerungsanlagen der BAB;Bestandsplan;;;;;
03.02.16;Best.2209;;Prüfschacht BAB;Text;2209;22T_Entwaesserung;Textschicht für Schicht 21Entwaesserung;Bestandsplan;;;;;
03.02.16;Best.2196;;Einlauf (Prüfschacht) BAB;Punkt;2196;21Entwaesserung;Entwässerungsanlagen der BAB;Bestandsplan;;;;;
03.02.16;Best.2296;;Einlauf (Prüfschacht) BAB;Text;2296;22T_Entwaesserung;Textschicht für Schicht 21Entwaesserung;Bestandsplan;;;;;
03.02.16;Best.2197;;Auslauf (Prüfschacht) BAB;Punkt;2197;21Entwaesserung;Entwässerungsanlagen der BAB;Bestandsplan;;;;;
03.02.16;Best.2297;;Auslauf (Prüfschacht) BAB;Text;2297;22T_Entwaesserung;Textschicht für Schicht 21Entwaesserung;Bestandsplan;;;;;
03.02.16;Best.2198;;Fließsohle (Prüfschacht) BAB;Punkt;2198;21Entwaesserung;Entwässerungsanlagen der BAB;Bestandsplan;;;;;
03.02.16;Best.2298;;Fließsohle (Prüfschacht) BAB;Text;2298;22T_Entwaesserung;Textschicht für Schicht 21Entwaesserung;Bestandsplan;;;;;
03.02.16;Best.2110;2.2.1.;Regenrückhaltebecken, Oberkante BAB;Punkt;2110;21Entwaesserung;Entwässerungsanlagen der BAB;Bestandsplan;;;;;
03.02.16;Best.2110;;Regenrückhaltebecken, Oberkante BAB;Linie;2110;21Entwaesserung;Entwässerungsanlagen der BAB;Bestandsplan;;;;;
03.02.16;Best.2210;;Regenrückhaltebecken, Oberkante BAB;Text;2210;22T_Entwaesserung;Textschicht für Schicht 21Entwaesserung;Bestandsplan;;;;;
03.02.16;Best.2180;;Regenrückhaltebecken, Oberkante verdeckt BAB;Punkt;2180;21Entwaesserung;Entwässerungsanlagen der BAB;Bestandsplan;;;;;
03.02.16;Best.2180;;Regenrückhaltebecken, Oberkante verdeckt BAB;Linie;2180;21Entwaesserung;Entwässerungsanlagen der BAB;Bestandsplan;;;;;
03.02.16;Best.2111;2.2.1.;Regenrückhaltebecken, Unterkante BAB;Punkt;2111;21Entwaesserung;Entwässerungsanlagen der BAB;Bestandsplan;;;;;
03.02.16;Best.2111;;Regenrückhaltebecken, Unterkante BAB;Linie;2111;21Entwaesserung;Entwässerungsanlagen der BAB;Bestandsplan;;;;;
03.02.16;Best.2181;;Regenrückhaltebecken, Unterkante verdeckt BAB;Punkt;2181;21Entwaesserung;Entwässerungsanlagen der BAB;Bestandsplan;;;;;
03.02.16;Best.2181;;Regenrückhaltebecken, Unterkante verdeckt BAB;Linie;2181;21Entwaesserung;Entwässerungsanlagen der BAB;Bestandsplan;;;;;
03.02.16;Best.2112;;Regenrückhaltebecken Zufahrt / Umfahrung BAB;Punkt;2112;21Entwaesserung;Entwässerungsanlagen der BAB;Bestandsplan;;;;;
03.02.16;Best.2112;;Regenrückhaltebecken Zufahrt / Umfahrung BAB;Linie;2112;21Entwaesserung;Entwässerungsanlagen der BAB;Bestandsplan;;;;;
03.02.16;Best.2212;;Regenrückhaltebecken Zufahrt / Umfahrung BAB;Text;2212;22T_Entwaesserung;Textschicht für Schicht 21Entwaesserung;Bestandsplan;;;;;
03.02.16;Best.2113;2.2.1.;Böschungsoberkante außerhalb Regenrückhaltebecken BAB;Punkt;2113;21Entwaesserung;Entwässerungsanlagen der BAB;Bestandsplan;;;;;
