Datum;Fachbedeutung;RAS-Verm;Bezeichnung;Symbolart;Landescode;Status;Objektart;Attribut Verkehr;Attribut Ver-/Entsorgung;Attribut Ver-/Entsorgung unterirdisch;;
01.11.08;#051.F009;;Wegseite unbefestigt, verdeckt;Linie;525;Bestand;Verkehr;Straße;;;;
29.01.13;#051.F109;;Wegseite unbefestigt, verdeckt;Linie;525;Dritter;Verkehr;Straße;;;;
01.08.10;#051.F209;;Wegseite unbefestigt, verdeckt;Linie;525;Digitalisiert;Verkehr;Straße;;;;
01.08.10;#051.F309;;Wegseite unbefestigt, verdeckt;Linie;525;Photogrammetrie/Laser;Verkehr;Straße;;;;
01.11.08;#051.F909;;Wegseite unbefestigt, verdeckt;Linie;207;Planung;Verkehr;Straße;;;;
01.11.08;#051.F010;;Gehweg an Straßen, verdeckt;Linie;525;Bestand;Verkehr;Straße;;;;
29.01.13;#051.F110;;Gehweg an Straßen, verdeckt;Linie;525;Dritter;Verkehr;Straße;;;;
01.08.10;#051.F210;;Gehweg an Straßen, verdeckt;Linie;525;Digitalisiert;Verkehr;Straße;;;;
01.08.10;#051.F310;;Gehweg an Straßen, verdeckt;Linie;525;Photogrammetrie/Laser;Verkehr;Straße;;;;
01.11.08;#051.F910;;Gehweg an Straßen, verdeckt;Linie;207;Planung;Verkehr;Straße;;;;
01.11.08;#051.F011;;Geh und Radweg, verdeckt;Linie;521;Bestand;Verkehr;Straße;;;;
29.01.13;#051.F111;;Geh und Radweg, verdeckt;Linie;521;Dritter;Verkehr;Straße;;;;
01.08.10;#051.F211;;Geh und Radweg, verdeckt;Linie;521;Digitalisiert;Verkehr;Straße;;;;
01.08.10;#051.F311;;Geh und Radweg, verdeckt;Linie;521;Photogrammetrie/Laser;Verkehr;Straße;;;;
01.11.08;#051.F911;;Geh und Radweg, verdeckt;Linie;207;Planung;Verkehr;Straße;;;;
01.11.08;#051.F012;;Radweg an Straßen, verdeckt;Linie;521;Bestand;Verkehr;Straße;;;;
29.01.13;#051.F112;;Radweg an Straßen, verdeckt;Linie;521;Dritter;Verkehr;Straße;;;;
01.08.10;#051.F212;;Radweg an Straßen, verdeckt;Linie;521;Digitalisiert;Verkehr;Straße;;;;
01.08.10;#051.F312;;Radweg an Straßen, verdeckt;Linie;521;Photogrammetrie/Laser;Verkehr;Straße;;;;
01.11.08;#051.F912;;Radweg an Straßen, verdeckt;Linie;207;Planung;Verkehr;Straße;;;;
01.11.08;#051.F013;;Hochbord, verdeckt;Linie;521;Bestand;Verkehr;Straße;;;;
29.01.13;#051.F113;;Hochbord, verdeckt;Linie;521;Dritter;Verkehr;Straße;;;;
01.08.10;#051.F213;;Hochbord, verdeckt;Linie;521;Digitalisiert;Verkehr;Straße;;;;
01.08.10;#051.F313;;Hochbord, verdeckt;Linie;521;Photogrammetrie/Laser;Verkehr;Straße;;;;
01.11.08;#051.F913;;Hochbord, verdeckt;Linie;207;Planung;Verkehr;Straße;;;;
01.11.08;#051.F014;;Tiefbord, abgesenkter Bord, verdeckt;Linie;521;Bestand;Verkehr;Straße;;;;
29.01.13;#051.F114;;Tiefbord, abgesenkter Bord, verdeckt;Linie;521;Dritter;Verkehr;Straße;;;;
01.08.10;#051.F214;;Tiefbord, abgesenkter Bord, verdeckt;Linie;521;Digitalisiert;Verkehr;Straße;;;;
01.08.10;#051.F314;;Tiefbord, abgesenkter Bord, verdeckt;Linie;521;Photogrammetrie/Laser;Verkehr;Straße;;;;
01.11.08;#051.F914;;Tiefbord, abgesenkter Bord, verdeckt;Linie;207;Planung;Verkehr;Straße;;;;
01.11.08;#051.F015;;Abweisende Schutzeinrichtung einseitig, rechts, verdeckt (Leitplanke);Linie;529;Bestand;Verkehrsausstattung;Straße;;;;
29.01.13;#051.F115;;Abweisende Schutzeinrichtung einseitig, rechts, verdeckt (Leitplanke);Linie;529;Dritter;Verkehrsausstattung;Straße;;;;
01.08.10;#051.F215;;Abweisende Schutzeinrichtung einseitig, rechts, verdeckt (Leitplanke);Linie;529;Digitalisiert;Verkehrsausstattung;Straße;;;;
01.08.10;#051.F315;;Abweisende Schutzeinrichtung einseitig, rechts, verdeckt (Leitplanke);Linie;529;Photogrammetrie/Laser;Verkehrsausstattung;Straße;;;;
01.11.08;#051.F915;;Abweisende Schutzeinrichtung einseitig, rechts, verdeckt (Leitplanke);Linie;209;Planung;Verkehrsausstattung;Straße;;;;
01.11.08;#051.F016;2.3.2.4;Abweisende Schutzeinrichtung zweiseitig, mittig, verdeckt (Leitplanke);Linie;529;Bestand;Verkehrsausstattung;Straße;;;;
29.01.13;#051.F116;2.3.2.4;Abweisende Schutzeinrichtung zweiseitig, mittig, verdeckt (Leitplanke);Linie;529;Dritter;Verkehrsausstattung;Straße;;;;
01.08.10;#051.F216;2.3.2.4;Abweisende Schutzeinrichtung zweiseitig, mittig, verdeckt (Leitplanke);Linie;529;Digitalisiert;Verkehrsausstattung;Straße;;;;
01.08.10;#051.F316;2.3.2.4;Abweisende Schutzeinrichtung zweiseitig, mittig, verdeckt (Leitplanke);Linie;529;Photogrammetrie/Laser;Verkehrsausstattung;Straße;;;;
01.11.08;#051.F916;2.3.2.4;Abweisende Schutzeinrichtung zweiseitig, mittig, verdeckt (Leitplanke);Linie;209;Planung;Verkehrsausstattung;Straße;;;;
01.11.08;#051.F017;;Eisenbahn, Achse, verdeckt;Linie;550;Bestand;Gradiente / Querprofil;;;;;
29.01.13;#051.F117;;Eisenbahn, Achse, verdeckt;Linie;550;Dritter;Gradiente / Querprofil;;;;;
01.08.10;#051.F217;;Eisenbahn, Achse, verdeckt;Linie;550;Digitalisiert;Gradiente / Querprofil;;;;;
01.08.10;#051.F317;;Eisenbahn, Achse, verdeckt;Linie;550;Photogrammetrie/Laser;Gradiente / Querprofil;;;;;
01.11.08;#051.F917;;Eisenbahn, Achse, verdeckt;Linie;215;Planung;Gradiente / Querprofil;;;;;
01.11.08;#051.F018;;Widerlager, Pfeiler, verdeckt;Linie;580;Bestand;Ing. Bauwerke;;;;;
29.01.13;#051.F118;;Widerlager, Pfeiler, verdeckt;Linie;580;Dritter;Ing. Bauwerke;;;;;
01.08.10;#051.F218;;Widerlager, Pfeiler, verdeckt;Linie;580;Digitalisiert;Ing. Bauwerke;;;;;
01.08.10;#051.F318;;Widerlager, Pfeiler, verdeckt;Linie;580;Photogrammetrie/Laser;Ing. Bauwerke;;;;;
01.11.08;#051.F918;;Widerlager, Pfeiler, verdeckt;Linie;222;Planung;Ing. Bauwerke;;;;;
01.11.08;#051.F019;;Uferline, fest, verdeckt;Linie;560;Bestand;Gewässer;;;;;
29.01.13;#051.F119;;Uferline, fest, verdeckt;Linie;560;Dritter;Gewässer;;;;;
01.08.10;#051.F219;;Uferline, fest, verdeckt;Linie;560;Digitalisiert;Gewässer;;;;;
01.08.10;#051.F319;;Uferline, fest, verdeckt;Linie;560;Photogrammetrie/Laser;Gewässer;;;;;
01.11.08;#051.F919;;Uferline, fest, verdeckt;Linie;218;Planung;Gewässer;;;;;
21.12.09;#051.F020;;Uferlinie, veränderliche, verdeckt;Linie;560;Bestand;Gewässer;;;;;
29.01.13;#051.F120;;Uferlinie, veränderliche, verdeckt;Linie;560;Dritter;Gewässer;;;;;
01.08.10;#051.F220;;Uferlinie, veränderliche, verdeckt;Linie;560;Digitalisiert;Gewässer;;;;;
01.08.10;#051.F320;;Uferlinie, veränderliche, verdeckt;Linie;560;Photogrammetrie/Laser;Gewässer;;;;;
21.12.09;#051.F920;;Uferlinie, veränderliche, verdeckt;Linie;218;Planung;Gewässer;;;;;
01.11.08;#051.F021;;Graben, Bach < 1m, verdeckt (Außenbereich);Linie;560;Bestand;Gewässer;;;;;
29.01.13;#051.F121;;Graben, Bach < 1m, verdeckt (Außenbereich);Linie;560;Dritter;Gewässer;;;;;
01.08.10;#051.F221;;Graben, Bach < 1m, verdeckt (Außenbereich);Linie;560;Digitalisiert;Gewässer;;;;;
01.08.10;#051.F321;;Graben, Bach < 1m, verdeckt (Außenbereich);Linie;560;Photogrammetrie/Laser;Gewässer;;;;;
01.11.08;#051.F921;;Graben, Bach < 1m, verdeckt (Außenbereich);Linie;218;Planung;Gewässer;;;;;
01.11.08;#051.F022;;Wasserlaufseite > 1 m, verdeckt(Außenbereich);Linie;560;Bestand;Gewässer;;;;;
29.01.13;#051.F122;;Wasserlaufseite > 1 m, verdeckt(Außenbereich);Linie;560;Dritter;Gewässer;;;;;
01.08.10;#051.F222;;Wasserlaufseite > 1 m, verdeckt(Außenbereich);Linie;560;Digitalisiert;Gewässer;;;;;
01.08.10;#051.F322;;Wasserlaufseite > 1 m, verdeckt(Außenbereich);Linie;560;Photogrammetrie/Laser;Gewässer;;;;;
01.11.08;#051.F922;;Wasserlaufseite > 1 m, verdeckt(Außenbereich);Linie;218;Planung;Gewässer;;;;;
01.11.08;#051.F023;;Zaun, UK, verdeckt;Linie;511;Bestand;Topographie;;;;;
29.01.13;#051.F123;;Zaun, UK, verdeckt;Linie;511;Dritter;Topographie;;;;;
01.08.10;#051.F223;;Zaun, UK, verdeckt;Linie;511;Digitalisiert;Topographie;;;;;
01.08.10;#051.F323;;Zaun, UK, verdeckt;Linie;511;Photogrammetrie/Laser;Topographie;;;;;
01.11.08;#051.F923;;Zaun, UK, verdeckt;Linie;226;Planung;Topographie;;;;;
01.11.08;#051.F024;;Mauer, UK, mit topografischer Bedeutung rechts, verdeckt;Linie;511;Bestand;Topographie;;;;;
29.01.13;#051.F124;;Mauer, UK, mit topografischer Bedeutung rechts, verdeckt;Linie;511;Dritter;Topographie;;;;;
01.08.10;#051.F224;;Mauer, UK, mit topografischer Bedeutung rechts, verdeckt;Linie;511;Digitalisiert;Topographie;;;;;
01.08.10;#051.F324;;Mauer, UK, mit topografischer Bedeutung rechts, verdeckt;Linie;511;Photogrammetrie/Laser;Topographie;;;;;
01.11.08;#051.F924;;Mauer, UK, mit topografischer Bedeutung rechts, verdeckt;Linie;225;Planung;Topographie;;;;;
01.11.08;#051.F025;;Mauer, UK, mit topografischer Bedeutung mittig, verdeckt;Linie;511;Bestand;Topographie;;;;;
29.01.13;#051.F125;;Mauer, UK, mit topografischer Bedeutung mittig, verdeckt;Linie;511;Dritter;Topographie;;;;;
01.08.10;#051.F225;;Mauer, UK, mit topografischer Bedeutung mittig, verdeckt;Linie;511;Digitalisiert;Topographie;;;;;
01.08.10;#051.F325;;Mauer, UK, mit topografischer Bedeutung mittig, verdeckt;Linie;511;Photogrammetrie/Laser;Topographie;;;;;
01.11.08;#051.F925;;Mauer, UK, mit topografischer Bedeutung mittig, verdeckt;Linie;225;Planung;Topographie;;;;;
01.11.08;#051.F026;;Stützmauer, Futtermauer, UK, verdeckt;Linie;511;Bestand;Topographie;;;;;
29.01.13;#051.F126;;Stützmauer, Futtermauer, UK, verdeckt;Linie;511;Dritter;Topographie;;;;;
01.08.10;#051.F226;;Stützmauer UK Futtermauer, verdeckt;Linie;511;Digitalisiert;Topographie;;;;;
