Datum;Fachbedeutung;RAS-Verm;Bezeichnung;Symbolart;Landescode
01.03.06;#004.8002;;Brückenwiderlager oben;Linie;402
01.03.06;#004.8003;;Auflager;Punkt;403
01.03.06;#004.8003;;Auflager Umrisslinie;Linie;403
01.03.06;#004.8004;;Dehnfuge;Punkt;404
01.03.06;#004.8004;;Dehnfuge;Linie;404
01.03.06;#004.8005;;Punkt der Auflagerachse;Punkt;405
01.03.06;#004.8005;;Auflagerachse;Linie;405
01.03.06;#004.8006;;Fahrbahnübergang;Punkt;406
01.03.06;#004.8006;;Fahrbahnübergang;Linie;406
01.03.06;#004.8007;;Gewölbefußpunkt;Punkt;407
01.03.06;#004.8007;;Gewölbefuß;Linie;407
01.03.06;#004.8008;;Flügelwand unten;Punkt;408
01.03.06;#004.8008;;Flügelwand unten;Linie;408
01.03.06;#004.8009;;Flügelwand oben;Punkt;409
01.03.06;#004.8009;;Flügelwand oben;Linie;409
01.03.06;#000.8041;;Pfeiler;Punkt;41
01.03.06;#000.8041;;Pfeiler;Linie;41
01.03.06;#004.8011;;Pfeiler unten;Punkt;411
01.03.06;#004.8011;;Pfeiler unten;Linie;411
01.03.06;#004.8012;;Pfeiler oben;Punkt;412
01.03.06;#004.8012;;Pfeiler oben;Linie;412
01.03.06;#004.8015;;Pfeilerfundament unten;Punkt;415
01.03.06;#004.8015;;Pfeilerfundament unten;Linie;415
01.03.06;#004.8016;;Pfeilerfundament oben;Punkt;416
01.03.06;#004.8016;;Pfeilerfundament oben;Linie;416
01.03.06;#004.8019;;Arbeitsraum an Bauwerken;Punkt;419
01.03.06;#004.8019;;Arbeitsraum an Bauwerken;Linie;419
01.03.06;#000.8042;;Sonderbauwerke;Punkt;42
01.03.06;#000.8042;;Sonderbauwerke;Linie;42
01.03.06;#004.8021;;Tunnelportal;Punkt;421
01.03.06;#004.8021;;Tunnelportal;Linie;421
01.03.06;#004.8023;;Dunglege;Punkt;423
01.03.06;#004.8023;;Dunglege;Linie;423
01.03.06;#004.8027;;Stahlfertigteildurchlaß sichtbarer Teil;Punkt;427
01.03.06;#004.8027;;Stahlfertigteildurchlaß sichtbarer Teil;Linie;427
01.03.06;#004.8028;;Stahlfertigteildurchlaß unsichtbarer Teil;Punkt;428
01.03.06;#004.8028;;Stahlfertigteildurchlaß unsichtbarer Teil;Linie;428
01.03.06;#000.8043;;Stützmauer unten ;Punkt;43
01.03.06;#000.8043;;Stützmauer unten ;Linie;43
01.03.06;#004.8035;;Betongleitwand mit Hinterfüllung unten;Punkt;435
01.03.06;#004.8035;;Betongleitwand mit Hinterfüllung unten;Linie;435
01.03.06;#000.8044;;Stützmauer oben;Punkt;44
01.03.06;#000.8044;;Stützmauer oben;Linie;44
01.03.06;#004.8045;;Betongleitwand mit Hinterfüllung oben;Punkt;445
01.03.06;#004.8045;;Betongleitwand mit Hinterfüllung oben;Linie;445
01.03.06;#000.8045;;Treppe;Punkt;45
01.03.06;#000.8045;;Treppe;Linie;45
01.03.06;#004.8052;;Rolltreppe;Punkt;452
01.03.06;#004.8052;;Rolltreppe;Linie;452
01.03.06;#004.8053;;Podest;Punkt;453
01.03.06;#004.8053;;Podest;Linie;453
01.03.06;#004.8055;;Rampe;Punkt;455
01.03.06;#004.8055;;Rampe;Linie;455
01.03.06;#004.8056;;Fahrstuhl;Punkt;456
01.03.06;#004.8056;;Fahrstuhl;Linie;456
01.03.06;#000.8046;;Geländer;Punkt;46
01.03.06;#000.8046;;Geländer;Linie;46
01.03.06;#004.8061;;Palisade;Punkt;461
01.03.06;#004.8061;;Palisade;Linie;461
01.03.06;#004.8065;;Schutzgeländer um Kraftstoffzapfsäulen (Tank- und Rastanlagen);Punkt;465
01.03.06;#004.8065;;Schutzgeländer um Kraftstoffzapfsäulen (Tank- und Rastanlagen);Linie;465
01.03.06;#004.8069;;Geländer oben;Punkt;469
01.03.06;#004.8069;;Geländer oben;Linie;469
01.03.06;#000.8047;;Lärmschutzwand;Punkt;47
01.03.06;#000.8047;;Lärmschutzwand;Linie;47
01.03.06;#004.8071;;Lärmschutzwand unten Straßenseite;Punkt;471
01.03.06;#004.8071;;Lärmschutzwand unten Straßenseite;Linie;471
01.03.06;#004.8072;;Lärmschutzwand unten Außenseite;Punkt;472
01.03.06;#004.8072;;Lärmschutzwand unten Außenseite ;Linie;472
01.03.06;#004.8073;;Lärmschutzwand oben Straßenseite;Punkt;473
01.03.06;#004.8073;;Lärmschutzwand oben Straßenseite;Linie;473
01.03.06;#004.8074;;Lärmschutzwand oben Außenseite;Punkt;474
01.03.06;#004.8074;;Lärmschutzwand oben Außenseite;Linie;474
01.03.06;#004.8077;;Lärmschutzwand unten;Punkt;477
01.03.06;#004.8077;;Umrisslinien der Lärmschutzwand unten;Linie;477
01.03.06;#004.8078;;Lärmschutzwand oben;Punkt;478
01.03.06;#004.8078;;Umrisslinien der Lärmschutzwand oben;Linie;478
01.03.06;#004.8079;;Lärmschutzwand oben mittig;Punkt;479
01.03.06;#004.8079;;Lärmschutzwand mittig (oben);Linie;479
01.03.06;#084.8070;;Lärmschutzwand Beton;Linie;8470
01.03.06;#084.8071;;Lärmschutzwand Holz;Linie;8471
01.03.06;#084.8072;;Lärmschutzwand Metall;Linie;8472
01.03.06;#084.8073;;Lärmschutzwand Glas;Linie;8473
01.03.06;#084.8074;;Lärmschutzwand Kunststoff;Linie;8474
01.03.06;#084.8075;;Lärmschutzwand Beton bepflanzt;Linie;8475
01.03.06;#084.8076;;Lärmschutzwand Holz bepflanzt;Linie;8476
01.03.06;#084.8077;;Lärmschutzwand Metall bepflanzt;Linie;8477
01.03.06;#084.8078;;Lärmschutzwand Glas bepflanzt;Linie;8478
01.03.06;#084.8079;;Lärmschutzwand Kunststoff bepflanzt;Linie;8479
01.03.06;#000.8048;;Unterkante Bauwerk;Punkt;48
01.03.06;#000.8048;;Unterkante Bauwerk;Linie;48
01.03.06;#000.8049;;Gesimskante;Punkt;49
01.03.06;#000.8049;;Gesimskante;Linie;49
01.03.06;#000.8050;;Kontrollschacht der Straßenentwässerung;Punkt;50
01.03.06;#000.8050;;Straßenentwässerungsleitung;Linie;50
01.03.06;#005.8002;;Leichtstoffabscheider (Kraftstoff);Punkt;502
01.03.06;#005.8002;;Leichtstoffabscheider (Kraftstoff) Umrisslinie;Linie;502
01.03.06;#005.8003;;Leichtstoffabscheider (Fett);Punkt;503
01.03.06;#005.8003;;Leichtstoffabscheider (Fett) Umrisslinie;Linie;503
01.03.06;#005.8004;;Schacht mit Pumpwerk;Punkt;504
01.03.06;#005.8004;;Schacht mit Pumpwerk Umrisslinie;Linie;504
01.03.06;#005.8005;;Drosselschacht;Punkt;505
01.03.06;#005.8005;;Sickerrohrleitung, Dränage;Linie;505
01.03.06;#005.8006;;Kontrollschacht rund;Punkt;506
01.03.06;#005.8007;;Kontrollschacht eckig (auch deaktiv);Punkt;507
01.03.06;#005.8007;;Umrisslinie Absturzbauwerk (Energieumwandlungsschacht);Linie;507
01.03.06;#005.8008;;Kontrollschacht (künftig entfallend);Punkt;508
01.03.06;#005.8008;;Entwässerungsleitung (künftig entfallend);Linie;508
01.03.06;#005.8009;;Ecke des Kontrollschachtes der Entwässerung;Punkt;509
01.03.06;#005.8009;;Umrisslinie des Kontrollschachtes;Linie;509
01.03.06;#000.8051;;Muldenablaufschacht;Punkt;51
01.03.06;#005.8011;;Muldenablaufschacht rund;Punkt;511
01.03.06;#005.8012;;Muldenablaufschacht eckig;Punkt;512
01.03.06;#005.8013;;Muldenablaufschacht eckig Betonsockel;Punkt;513
01.03.06;#005.8018;;Muldenablaufschacht (künftig entfallend);Punkt;518
01.03.06;#005.8019;;Ecke des Muldenablaufschachtes (-bauwerkes);Punkt;519
01.03.06;#005.8019;;Umrisslinie des Muldenablaufschachtes (-bauwerkes);Linie;519
01.03.06;#000.8052;;Straßenablauf (allg.);Punkt;52
01.03.06;#005.8021;;Straßenablaufschacht mittig;Punkt;521
01.03.06;#005.8022;;Straßenablaufschacht schmal (seitlich);Punkt;522
01.03.06;#005.8023;;Bergablaufschacht breit (seitlich);Punkt;523
01.03.06;#005.8024;;Hofablauf (mittig);Punkt;524
01.03.06;#005.8028;;Straßenablaufschacht (künftig entfallend);Punkt;528
01.03.06;#005.8029;;Ecke eines Straßenablaufs;Punkt;529
01.03.06;#005.8029;;Umrisslinie eines Straßenablaufs;Linie;529
01.03.06;#000.8053;;Straßenablauf an Randstein (Bezugspunkt mittig) ;Punkt;53
01.03.06;#005.8031;;Straßenablauf an Randstein (Bezugspunkt am Hochbord / seitlich);Punkt;531
01.03.06;#005.8038;;Straßenablauf an Randstein (künftig entfallend) ;Punkt;538
01.03.06;#000.8054;;Entwässerungsrinne;Punkt;54
01.03.06;#000.8054;;Entwässerungsrinne;Linie;54
01.03.06;#005.8042;;Kastenrinne;Punkt;542
01.03.06;#005.8042;;Kastenrinne;Linie;542
01.03.06;#005.8043;;Spitzrinne;Punkt;543
01.03.06;#005.8043;;Spitzrinne;Linie;543
01.03.06;#005.8044;;Pflasterrinne;Punkt;544
01.03.06;#005.8044;;Pflasterrinne;Linie;544
01.03.06;#005.8048;;Tiefpunkt in Rinne;Punkt;548
01.03.06;#005.8048;;Rinnensohle / Mitte Rinne;Linie;548
01.03.06;#005.8049;;Punkt einer Umrisslinie einer Rinne;Punkt;549
01.03.06;#005.8049;;Umrisslinie einer Rinne;Linie;549
01.03.06;#000.8055;;Durchlass/Dole;Punkt;55
01.03.06;#000.8055;;Umrisslinie Durchlass/Dole;Linie;55
01.03.06;#005.8051;;Durchlass - Einlauf;Punkt;551
01.03.06;#005.8052;;Durchlass - Auslauf;Punkt;552
01.03.06;#005.8053;;Dole - Einlauf;Punkt;553
01.03.06;#005.8054;;Dole - Auslauf;Punkt;554
01.03.06;#005.8055;;Auslauf einer Entwässerungsleitung;Punkt;555
01.03.06;#005.8055;;unterirdischer Verlauf eines Durchlasses / einer Dole;Linie;555
01.03.06;#005.8056;;Einlauf (Rohr im Graben);Punkt;556
01.03.06;#005.8057;;Einleitungsstelle;Punkt;557
01.03.06;#005.8058;;Durchlass/Dole (künftig entfallend);Punkt;558
01.03.06;#005.8059;;Eckpunkt Durchlass / Dole;Punkt;559
01.03.06;#005.8059;;Umrisslinie Durchlass / Dole - geländeunabhängig;Linie;559
01.03.06;#000.8056;;Schlitzrinne;Punkt;56
01.03.06;#000.8056;;Schlitzrinne;Linie;56
01.03.06;#005.8061;;Schlitzrinne Außenrand;Punkt;561
01.03.06;#005.8061;;Schlitzrinne Umrisslinie;Linie;561
01.03.06;#005.8062;;Schlitzrinne rechts;Punkt;562
01.03.06;#005.8062;;Schlitzrinne rechts;Linie;562
01.03.06;#000.8057;;Punkt eines Linienverlaufs (Nutzung für Hilfspunkte E-Leitungen bei Digitalisierung);Punkt;57
01.03.06;#005.8077;;Leitungs-/Kabelverlauf Aufnahmepunkt in Geländehöhe;Punkt;577
01.03.06;#005.8078;;Leitungs-/Kabelverlauf Aufnahmepunkt Oberkante Leitung;Punkt;578
01.03.06;#005.8079;;Leitungs-/Kabelverlauf Aufnahmepunkt Graben unten;Punkt;579
01.03.06;#000.8058;;Entlüftung ;Punkt;58
01.03.06;#005.8085;;Domschacht;Punkt;585
01.03.06;#005.8086;;Domschacht Umrisslinienpunkt;Punkt;586
01.03.06;#005.8086;;Domschacht Umrisslinie;Linie;586
01.03.06;#005.8089;;Entlüftung oben;Punkt;589
01.03.06;#000.8059;;Schachtsohle;Punkt;59
01.03.06;#005.8091;;Hilfspunkt Entwässerung;Punkt;591
01.03.06;#005.8093;;Einlauf im Schacht (Haupteinlauf);Punkt;593
01.03.06;#005.8095;;Auslauf im Schacht;Punkt;595
01.03.06;#005.8097;;Nebeneinlauf im Schacht ;Punkt;597
01.03.06;#005.8099;;Überlauf ;Punkt;599
01.03.06;#000.8060;;Kontrollschacht einer Ver- und Entsorgungsrohrleitung;Punkt;60
01.03.06;#000.8060;;Ver-, Entsorgungsrohrleitung (allg.);Linie;60
01.03.06;#006.8000;;Schutzrohr;Punkt;600
01.03.06;#006.8000;;Schutzrohr (8600 Schutzrohr - Umriss);Linie;600
01.03.06;#006.8001;;Kontrollschacht Wasserleitung ;Punkt;601
01.03.06;#006.8001;;Wasserleitung (Digi-Hilfspkt: 691);Linie;601
01.03.06;#006.8002;;Kontrollschacht Fernwärmeleitung;Punkt;602
01.03.06;#006.8002;;Fernwärmeleitung (Digi-Hilfspkt: 692);Linie;602
01.03.06;#006.8003;;Kontrollschacht Ölleitung;Punkt;603
01.03.06;#006.8003;;Ölleitung (Digi-Hilfspkt: 693);Linie;603
01.03.06;#006.8004;;Kontrollschacht Gasleitung;Punkt;604
01.03.06;#006.8004;;Gasleitung (Digi-Hilfspkt: 694);Linie;604
01.03.06;#006.8005;;Wasserfassung (Brunnen);Punkt;605
01.03.06;#006.8005;;Wasserfassung (Brunnen) - Umrisslinie;Linie;605
01.03.06;#006.8006;;Kontrollschacht Regenwasserleitung;Punkt;606
01.03.06;#006.8006;;Regenwasserleitung (Digi-Hilfspkt: 695);Linie;606
01.03.06;#006.8007;;Kontrollschacht Mischwasser ;Punkt;607
01.03.06;#006.8007;;Mischwasserleitung (Digi-Hilfspkt: 696);Linie;607
01.03.06;#006.8008;;Kontrollschacht Schmutzwasser ;Punkt;608
01.03.06;#006.8008;;Schmutzwasserleitung (Digi-Hilfspkt: 697);Linie;608
01.03.06;#006.8009;;Kontrollschacht-Bauwerksecke;Punkt;609
01.03.06;#006.8009;;Umrisslinie des Kontrollschacht-Bauwerks;Linie;609
01.03.06;#000.8061;;Schieberschacht;Punkt;61
01.03.06;#006.8011;;Schieberschacht Wasser;Punkt;611
01.03.06;#006.8012;;Schieberschacht Fernwärmeleitung;Punkt;612
01.03.06;#006.8013;;Schieberschacht Ölleitung;Punkt;613
01.03.06;#006.8014;;Schieberschacht Gas;Punkt;614
01.03.06;#006.8015;;Schieberschacht Schmutzwasserleitung;Punkt;615
01.03.06;#006.8018;;Kontrollschacht (künftig entfallend);Punkt;618
01.03.06;#006.8018;;Leitung (künftig entfallend);Linie;618
01.03.06;#000.8062;;Schaltkasten;Punkt;62
01.03.06;#006.8020;;Schaltkasten oben mitte;Punkt;620
01.03.06;#006.8021;;Verbindungsmuffe;Punkt;621
01.03.06;#006.8022;;Abzweigmuffe;Punkt;622
01.03.06;#006.8023;;Kondensatormuffe;Punkt;623
01.03.06;#006.8024;;Pupinspulenmuffe, Pupinspulenkasten;Punkt;624
01.03.06;#006.8025;;Blindmuffe;Punkt;625
01.03.06;#006.8026;;Kupplung;Punkt;626
01.03.06;#006.8027;;Schaltkasten, Aufnahmepunkt Mitte seitlich;Punkt;627
01.03.06;#006.8028;;Schaltkastenecke unten;Punkt;628
01.03.06;#006.8028;;Schaltkasten-Umrisslinie unten;Linie;628
01.03.06;#006.8029;;Schaltkastenecke oben;Punkt;629
01.03.06;#006.8029;;Schaltkasten-Umrisslinie oben;Linie;629
01.03.06;#000.8063;;Kabelstein (allgemein);Punkt;63
01.03.06;#000.8063;;Streckenkabel BAB (AUSA);Linie;63
01.03.06;#006.8030;;Kabelschleife (Aufnahmepunkt oberirdisch);Punkt;630
01.03.06;#006.8031;;Kabelstein AUSA;Punkt;631
01.03.06;#006.8032;;Muffenstein AUSA ;Punkt;632
01.03.06;#006.8033;;Muffe (Aufnahmepunkt oberirdisch);Punkt;633
01.03.06;#006.8034;;Pupinspule (Aufnahmepunkt oberirdisch);Punkt;634
01.03.06;#006.8035;;Kabelstein Strom;Punkt;635
01.03.06;#006.8036;;Marke Gas;Punkt;636
01.03.06;#006.8037;;Marke Wasser;Punkt;637
01.03.06;#006.8038;;Kabelstein Fernmeldeleitung;Punkt;638
01.03.06;#006.8039;;Kabelstein Eisenbahn;Punkt;639
01.03.06;#000.8064;;Kabelschacht;Punkt;64
01.03.06;#000.8064;;E-Leitungen (allgem.) ;Linie;64
01.03.06;#006.8040;;Leerrohr / Kabelformstein;Punkt;640
01.03.06;#006.8040;;Leerrohr / Kabelformstein;Linie;640
01.03.06;#006.8041;;Kabelschacht Strom;Punkt;641
01.03.06;#006.8041;;Stromerdleitung (Digi-Hilfspkt: 571);Linie;641
01.03.06;#006.8042;;Kabelschacht Verkehrssteuerungsanlage;Punkt;642
01.03.06;#006.8042;;Kabel der Verkehrsteuerungsanlage (Digi-Hilfspkt: 572);Linie;642
01.03.06;#006.8043;;Kabelschacht Lichtwellenleiter;Punkt;643
01.03.06;#006.8043;;Lichtwellenleiter / Glasfaserkabel (Digi-Hilfspkt: 573);Linie;643
01.03.06;#006.8044;;Kabelschacht Sammelleitung;Punkt;644
01.03.06;#006.8044;;Sammelleitung / mehrfach genutzte Kabeltrasse (Digi-Hilfspkt: 574);Linie;644
01.03.06;#006.8045;;Kabelschacht Fernmeldeleitung;Punkt;645
01.03.06;#006.8045;;Fernmeldeleitung (Fremdleitungen) (Digi-Hilfspkt: 575);Linie;645
01.03.06;#006.8046;;Kabelschacht Eisenbahn;Punkt;646
01.03.06;#006.8046;;Kabel Eisenbahn (Digi-Hilfspkt: 576);Linie;646
01.03.06;#006.8047;;Kontaktschleifen in Fahrbahn;Punkt;647
01.03.06;#006.8047;;Kontaktschleifen in Fahrbahn;Linie;647
01.03.06;#006.8049;;Kabelschachtecke;Punkt;649
01.03.06;#006.8049;;Kabelschacht-Umrisslinie;Linie;649
01.03.06;#000.8065;;Gittermast;Punkt;65
01.03.06;#006.8053;;Gittermastmittelpunkt;Punkt;653
01.03.06;#006.8053;;Gittermast-Diagonallinie;Linie;653
01.03.06;#006.8055;;Gittermastecke;Punkt;655
01.03.06;#006.8055;;Gittermast-Umrisslinie;Linie;655
01.03.06;#006.8058;;Gittermastfundament oben;Punkt;658
01.03.06;#006.8058;;Gittermastfundament oben Umrisslinie;Linie;658
01.03.06;#006.8059;;Gittermast Mitte oben;Punkt;659
01.03.06;#000.8066;;Mast;Punkt;66
01.03.06;#000.8066;;Freileitung (allg.);Linie;66
01.03.06;#006.8061;;Betonmast;Punkt;661
01.03.06;#006.8061;;Stromfreileitung (Digi-Hilfspkt: 651);Linie;661
01.03.06;#006.8062;;Holzmast;Punkt;662
01.03.06;#006.8063;;Holzmast (A-Mast);Punkt;663
01.03.06;#006.8064;;Stahlmast;Punkt;664
01.03.06;#006.8065;;Fernmeldefreileitung (Digi-Hilfspkt: 665);Linie;665
01.03.06;#006.8066;;Fahrdrahtmast (Eisen-, Straßenbahn);Punkt;666
01.03.06;#006.8066;;Fahrdraht / Oberleitung;Linie;666
01.03.06;#006.8067;;Sendemast;Punkt;667
01.03.06;#006.8068;;Fahnenmast;Punkt;668
01.03.06;#006.8069;;Mast oben;Punkt;669
01.03.06;#000.8067;;Fernsprechzelle;Punkt;67
01.03.06;#000.8067;;Fernsprechzelle (Umriss);Linie;67
01.03.06;#006.8070;;Fernsprechzelle Mittelpunkt oben;Punkt;670
01.03.06;#006.8075;;Fernsprechzelle Eckpunkt unten;Punkt;675
01.03.06;#006.8075;;Umrisslinie einer Fernsprechzelle unten;Linie;675
01.03.06;#006.8079;;Fernsprechzelle Eckpunkt oben;Punkt;679
01.03.06;#006.8079;;Umrisslinie einer Fernsprechzelle oben;Linie;679
01.03.06;#000.8068;;Hydrant ;Punkt;68
01.03.06;#006.8081;;Hydrant Unterflur;Punkt;681
01.03.06;#006.8085;;Hydrant Oberflur - Geländehöhe;Punkt;685
01.03.06;#006.8089;;Hydrant Oberflur - oben;Punkt;689
01.03.06;#000.8070;;Schutzplanke einfach;Punkt;70
01.03.06;#000.8070;;Schutzplanke einfach rechts;Linie;70
01.03.06;#007.8001;;Schutzplanke einfach - Geländehöhe;Punkt;701
01.03.06;#007.8002;;Schutzplanke einfach - Beginn Absenkung Geländehöhe;Punkt;702
01.03.06;#007.8008;;Schutzplanke einfach - Beginn Absenkung oben;Punkt;708
01.03.06;#007.8009;;Schutzplanke einfach - Oberkante Leitplanke;Punkt;709
01.03.06;#007.8009;;Schutzplanke einfach oben;Linie;709
01.03.06;#000.8071;;Schutzplanke doppelt;Punkt;71
01.03.06;#000.8071;;Schutzplanke doppelt mittig;Linie;71
01.03.06;#007.8011;;Schutzplanke doppelt - Geländehöhe unten;Punkt;711
01.03.06;#007.8011;;Schutzplanke doppelt rechts;Linie;711
01.03.06;#007.8012;;Schutzplanke doppelt - Beginn Absenkung Geländehöhe unten;Punkt;712
01.03.06;#007.8015;;Betongleitwand unten (freistehend);Punkt;715
01.03.06;#007.8015;;Betongleitwand unten rechts (freistehend);Linie;715
01.03.06;#007.8016;;Betongleitwand mittig oben (freistehend);Punkt;716
01.03.06;#007.8016;;Betongleitwand mittig oben (freistehend);Linie;716
01.03.06;#007.8018;;Schutzplanke doppelt - Beginn Absenkung oben;Punkt;718
01.03.06;#007.8019;;Schutzplanke doppelt - Oberkante Leitplanke;Punkt;719
01.03.06;#007.8019;;Schutzplanke doppelt mittig oben;Linie;719
01.03.06;#000.8072;;Einrichtungen an Rastanlagen;Punkt;72
01.03.06;#000.8072;;Einrichtungen an Rastanlagen, Umrisslinie;Linie;72
01.03.06;#007.8021;;Mülltonne, Papierkorb;Punkt;721
01.03.06;#007.8022;;Bank;Punkt;722
01.03.06;#007.8022;;Bank, Umrisslinie;Linie;722
01.03.06;#007.8023;;Tisch;Punkt;723
01.03.06;#007.8023;;Tisch, Umrisslinie;Linie;723
01.03.06;#007.8024;;Spielgerät;Punkt;724
01.03.06;#007.8024;;Spielgerät, Umrisslinie;Linie;724
01.03.06;#007.8025;;Fahrradständer;Punkt;725
01.03.06;#007.8025;;Fahrradständer, Umrisslinie;Linie;725
01.03.06;#007.8026;;Kraftstoffzapfsäule;Punkt;726
01.03.06;#007.8026;;Umrisslinie einer Kraftstoffzapfsäule;Linie;726
01.03.06;#007.8027;;Tank oberirdisch;Punkt;727
01.03.06;#007.8027;;Umrisslinie eines oberirdischen Tanks;Linie;727
01.03.06;#007.8028;;Tank unterirdisch;Punkt;728
01.03.06;#007.8028;;Umrisslinie eines unterirdischen Tanks;Linie;728
01.03.06;#007.8029;;Einrichtungen an Rastanlagen oben;Punkt;729
01.03.06;#007.8029;;Einrichtungen an Rastanlagen oben;Linie;729
01.03.06;#000.8073;;Beleuchtungsmast;Punkt;73
01.03.06;#007.8031;;Ortsbeleuchtung Stahlmast;Punkt;731
01.03.06;#007.8032;;Ortsbeleuchtung Betonmast;Punkt;732
01.03.06;#007.8033;;Ortsbeleuchtung Holzmast;Punkt;733
01.03.06;#007.8034;;Ortsbeleuchtung Hängelampe;Punkt;734
01.03.06;#007.8035;;Pultlampe;Punkt;735
01.03.06;#007.8036;;Pollerleuchte (kleine Leuchte TR);Punkt;736
01.03.06;#007.8038;;Uhr, Temperaturanzeige;Punkt;738
01.03.06;#007.8039;;Beleuchtungsmast oben;Punkt;739
01.03.06;#000.8074;;Notrufsäule;Punkt;74
01.03.06;#007.8049;;Notrufsäule oben;Punkt;749
01.03.06;#000.8075;;Stationszeichen der Straßendatenbank;Punkt;75
01.03.06;#007.8050;;Hilfspunkt SIB allgemein;Punkt;750
01.03.06;#007.8050;;Hilfslinie SIB allgemein;Linie;750
01.03.06;#007.8051;;Hilfspunkt OD-Grenze ;Punkt;751
01.03.06;#007.8051;;OD-Grenze ;Linie;751
01.03.06;#007.8052;;Netzknoten;Punkt;752
01.03.06;#007.8053;;Astnullpunkt;Punkt;753
01.03.06;#007.8054;;Astendpunkt;Punkt;754
01.03.06;#007.8055;;Kilometrierungstafel BAB;Punkt;755
01.03.06;#007.8057;;Hilfspunkt Blattbegrenzung TK / SM-Grenze ;Punkt;757
01.03.06;#007.8057;;Begrenzungslinie TK / SM-Grenze ;Linie;757
01.03.06;#007.8058;;Hilfspunkt Überlappung Feldkarte;Punkt;758
01.03.06;#007.8058;;Linie Überlappung Feldkarte;Linie;758
01.03.06;#007.8059;;Stationszeichen oben;Punkt;759
01.03.06;#000.8076;;Pegel / Bodenerkundung (allg.);Punkt;76
01.03.06;#000.8076;;Bodenerkundung (allgem.), Umrisslinie;Linie;76
01.03.06;#007.8060;;refraktionsseismische Untersuchung (R);Punkt;760
01.03.06;#007.8061;;geoelektrische Untersuchung (G);Punkt;761
01.03.06;#007.8062;;Bohrung (B);Punkt;762
01.03.06;#007.8063;;Kleinbohrung / Sondierbohrung (SB);Punkt;763
01.03.06;#007.8064;;Kernbohrung (KB);Punkt;764
01.03.06;#007.8065;;orientierte Kernbohrung (KBR);Punkt;765
01.03.06;#007.8066;;Schürfe (Sch);Punkt;766
01.03.06;#007.8066;;Schürfe, Umrisslinie;Linie;766
01.03.06;#007.8067;;Rammsondierung (RS);Punkt;767
01.03.06;#007.8068;;Drucksondierung (DS);Punkt;768
01.03.06;#007.8069;;Sonstige z. B. Flügelsondierung/Isotopensondierung (FS/IS);Punkt;769
01.03.06;#000.8077;;Zaun (allg.);Punkt;77
01.03.06;#000.8077;;Zaun (allg.);Linie;77
01.03.06;#007.8071;;Metallzaun;Punkt;771
01.03.06;#007.8071;;Metallzaun;Linie;771
01.03.06;#007.8072;;Holzzaun;Punkt;772
01.03.06;#007.8072;;Holzzaun;Linie;772
01.03.06;#007.8073;;Metallzaun auf einer Mauer;Linie;773
01.03.06;#007.8074;;Holzzaun auf einer Mauer;Linie;774
01.03.06;#007.8075;;Weidezaun;Punkt;775
01.03.06;#007.8075;;Weidezaun;Linie;775
01.03.06;#007.8079;;Zaunpunkt oben;Punkt;779
01.03.06;#007.8079;;Zaun oben;Linie;779
01.03.06;#000.8078;;Tor im Zaun;Punkt;78
01.03.06;#000.8078;;Tor im Zaun;Linie;78
01.03.06;#007.8089;;Torpunkt oben;Punkt;789
01.03.06;#007.8089;;Tor im Zaun oben;Linie;789
01.03.06;#000.8079;;Hilfspunkt einer Höhenlinie / Isolinien;Punkt;79
01.03.06;#007.8091;;Hilfspunkt Höhenlinie Typ 1;Punkt;791
01.03.06;#007.8091;;Höhenlinie Typ 1 (z. B. 10 m - Linie);Linie;791
01.03.06;#007.8092;;Hilfspunkt Höhenlinie Typ 1;Punkt;792
01.03.06;#007.8092;;Höhenlinie Typ 2 (z. B. 5 m - Linie);Linie;792
01.03.06;#007.8093;;Hilfspunkt Höhenlinie Typ 1;Punkt;793
01.03.06;#007.8093;;Höhenlinie Typ 3 (z. B. 1 m - Linie);Linie;793
01.03.06;#007.8094;;Hilfspunkt Höhenlinie Typ 1;Punkt;794
01.03.06;#007.8094;;Höhenlinie Typ 4 (z. B. 0,5 m - Linie);Linie;794
01.03.06;#007.8095;;Hilfspunkt Höhenlinie Typ 1;Punkt;795
01.03.06;#007.8095;;Höhenlinie Typ 5 (z. B. 0,25 m - Linie);Linie;795
01.03.06;#000.8080;;Schild zur Verkehrslenkung ;Punkt;80
01.03.06;#000.8080;;Schild zur Verkehrslenkung ;Linie;80
01.03.06;#008.8001;;Schild zur Verkehrslenkung (1 Pfosten);Punkt;801
01.03.06;#008.8002;;Schild zur Verkehrslenkung (2 Pfosten);Punkt;802
01.03.06;#008.8003;;Pfeilwegweiser nach links (1 Pfosten);Punkt;803
01.03.06;#008.8004;;Pfeilwegweiser nach rechts (1 Pfosten);Punkt;804
01.03.06;#008.8005;;Pfeilwegweiser nach links (2 Pfosten);Punkt;805
01.03.06;#008.8006;;Pfeilwegweiser nach rechts (2 Pfosten);Punkt;806
01.03.06;#008.8009;;Schild zur Verkehrslenkung oben;Punkt;809
01.03.06;#008.8009;;Schild zur Verkehrslenkung oben;Linie;809
01.03.06;#000.8081;;Gefahrenzeichen (StVO 101-199), für Beschilderungspläne: 8000+StVO Nr. ;Punkt;81
01.03.06;#000.8082;;Vorschriftszeichen (StVO 205-299), für Beschilderungspläne: 8000+StVO Nr. ;Punkt;82
