Datum;Fachbedeutung;RAS-Verm;Bezeichnung;Symbolart;Landescode
01.03.06;#001.8062;;Leitlinie innerorts, außerhalb von Knotenpunkten;Linie;162
01.03.06;#001.8063;;Leitlinie außerorts, innerhalb von Knotenpunkten;Linie;163
01.03.06;#001.8064;;Leitlinie innerorts, innerhalb von Knotenpunkten;Linie;164
01.03.06;#001.8065;;Warnlinie außerorts;Linie;165
01.03.06;#001.8066;;Warnlinie innerorts;Linie;166
01.03.06;#001.8067;;einseitige Fahrbahnbegrenzung außerorts;Linie;167
01.03.06;#001.8068;;einseitige Fahrbahnbegrenzung innerorts;Linie;168
01.03.06;#001.8069;;Fahrstreifenbegrenzung Doppelstrich;Linie;169
01.03.06;#000.8017;;Sperrfläche;Punkt;17
01.03.06;#000.8017;;Sperrfläche;Linie;17
01.03.06;#001.8071;;großes Schrägstrichgatter;Linie;171
01.03.06;#001.8072;;kleines Schrägstrichgatter;Linie;172
01.03.06;#001.8073;;unterbrochene Sonderfahrstreifenbegrenzung Autobahn;Linie;173
01.03.06;#001.8074;;unterbrochene Sonderfahrstreifenbegrenzung außerorts;Linie;174
01.03.06;#001.8075;;unterbrochene Sonderfahrstreifenbegrenzung innerorts;Linie;175
01.03.06;#001.8076;;Wechselfahrstreifenbegrenzung außerorts;Linie;176
01.03.06;#001.8077;;Wechselfahrstreifenbegrenzung innerorts;Linie;177
01.03.06;#001.8078;;Wechselfahrstreifenbegrenzung Autobahn;Linie;178
01.03.06;#000.8018;;Quermarkierung;Punkt;18
01.03.06;#000.8018;;Quermarkierung;Linie;18
01.03.06;#001.8081;;Haltelinie;Linie;181
01.03.06;#001.8082;;Wartelinie;Linie;182
01.03.06;#001.8083;;Fußgängerüberweg;Linie;183
01.03.06;#001.8084;;Fußgängerfurt;Linie;184
01.03.06;#001.8085;;Radfahrerfurt;Linie;185
01.03.06;#001.8086;;Sonderfahrstreifenbegrenzung / Bushaltebucht;Linie;186
01.03.06;#001.8087;;Fahrbahnbegrenzung bei Zufahrten (Blockung 3 / 3);Linie;187
01.03.06;#001.8088;;Fahrstreifenbegrenzung bei Zufahrten (Blockung 1,5 / 1,5);Linie;188
01.03.06;#001.8089;;Grenzmarkierung Halte- und Parkverbote;Linie;189
01.03.06;#000.8019;;sonstige Markierung;Punkt;19
01.03.06;#000.8019;;sonstige Markierung;Linie;19
01.03.06;#001.8091;;Richtungspfeile Positionierungspunkt;Punkt;191
01.03.06;#001.8092;;Leitlinie Autobahn (durchgehender Schmalstrich);Linie;192
01.03.06;#001.8093;;Leitlinie Autobahn (unterbrochener Schmalstrich);Linie;193
01.03.06;#001.8094;;Leitlinie Autobahn, innerhalb von Knotenpunkten;Linie;194
01.03.06;#001.8095;;Warnlinie Autobahn;Linie;195
01.03.06;#001.8096;;Sonderfahrstreifenbegrenzung;Linie;196
01.03.06;#001.8097;;Text (wie BUS, 30 , 50 u.ä.) Positionierungspunkt;Punkt;197
01.03.06;#001.8097;;Fahrbahnbegrenzungslinie unterbrochen Autobahn;Linie;197
01.03.06;#001.8098;;aufgemalte Verkehrszeichen und sonstiges,;Punkt;198
01.03.06;#001.8098;;aufgemalte Verkehrszeichen und sonstiges;Linie;198
01.03.06;#000.8020;;Grenzpunkt ;Punkt;20
01.03.06;#000.8020;;Grenzlinie;Linie;20
01.03.06;#002.8001;;Grenzpunkt aufgemessen (nicht amtl. Koord.);Punkt;201
01.03.06;#002.8001;;Grenze der BAB (oder anderer klas. Straße);Linie;201
01.03.06;#002.8002;;Grenzpunkt aus ALK (amtl. endgültige Koord.) ;Punkt;202
01.03.06;#002.8002;;Flurstücksgrenze aus ALK;Linie;202
01.03.06;#002.8003;;Grenzpunkt aus ALK (grafische Koord.);Punkt;203
01.03.06;#002.8004;;Grenzpunkt aus Konstruktion/Digitalisierung;Punkt;204
01.03.06;#002.8005;;unvermarkter Grenzpunkt (amtl. endgültige Koord.);Punkt;205
01.03.06;#002.8006;;unvermarkter Grenzpunkt (grafische Koord.);Punkt;206
01.03.06;#002.8007;;unvermarkter Grenzpunkt aus Digi./Konstr.;Punkt;207
01.03.06;#002.8007;;Grenze Tank- und Rast GmbH;Linie;207
01.03.06;#002.8008;;Grenzpunkt mit unklarer Codierung in ALK;Punkt;208
01.03.06;#002.8009;;Kreismittelpunkt aus ALK;Punkt;209
01.03.06;#002.8009;;Zuordnungspfeil für Flst.Nr. aus ALK;Linie;209
01.03.06;#000.8021;;Grunderwerbsgrenzen Knickpunkte;Punkt;21
01.03.06;#000.8021;;Grunderwerbsgrenzen;Linie;21
01.03.06;#002.8010;;Knickpunkt Grunderwerb Sonderflächen;Punkt;210
01.03.06;#002.8010;;Grenzlinie Grunderwerb Sonderfläche;Linie;210
01.03.06;#002.8011;;Knickpunkt Grunderwerb Bund;Punkt;211
01.03.06;#002.8011;;Grenzlinie Grunderwerb Bund;Linie;211
01.03.06;#002.8012;;Knickpunkt Grunderwerb Land;Punkt;212
01.03.06;#002.8012;;Grenzlinie Grunderwerb Land;Linie;212
01.03.06;#002.8013;;Knickpunkt Grunderwerb Kreis;Punkt;213
01.03.06;#002.8013;;Grenzlinie Grunderwerb Kreis;Linie;213
01.03.06;#002.8014;;Knickpunkt Grunderwerb Gemeinde;Punkt;214
01.03.06;#002.8014;;Grenzlinie Grunderwerb Gemeinde;Linie;214
01.03.06;#002.8015;;Knickpunkt dauernd beanspruchte Flächen (DB);Punkt;215
01.03.06;#002.8015;;Grenzlinie dauernd beanspruchte Flächen (DB);Linie;215
01.03.06;#002.8016;;Knickpunkt vorübergehend beanspruchte Flächen (VB);Punkt;216
01.03.06;#002.8016;;Grenzlinie vorübergehend beanspruchte Flächen (VB);Linie;216
01.03.06;#002.8017;;Knickpunkt Grunderwerb Nebenanlagen;Punkt;217
01.03.06;#002.8017;;Grenzlinie Grunderwerb Nebenanlagen;Linie;217
01.03.06;#002.8018;;Knickpunkt Ausgleichsfläche;Punkt;218
01.03.06;#002.8018;;Grenzlinie Ausgleichsfläche ;Linie;218
01.03.06;#002.8019;;Knickpunkt Tauschflächen;Punkt;219
01.03.06;#002.8019;;Grenzlinie Tauschflächen;Linie;219
01.03.06;#000.8022;;Wohnhaus ;Punkt;22
01.03.06;#000.8022;;Gebäudelinie Wohnhaus (Aufnahme: ohne Schraffur);Linie;22
01.03.06;#002.8020;;Gebäudelinie Wohnhaus aus Aufnahme mit Schraffur;Linie;220
01.03.06;#002.8021;;Wohnhaus aufgemessen;Punkt;221
01.03.06;#002.8021;;Gebäudelinie Wohnhaus aufgemessen;Linie;221
01.03.06;#002.8022;;Gebäudepunkt aus ALK;Punkt;222
01.03.06;#002.8022;;Gebäudelinie Wohnhaus aus ALK Schraffur S2;Linie;222
01.03.06;#002.8023;;Hochhausumrisslinie (Stift 4);Linie;223
01.03.06;#002.8024;;Fensterhöhe (für Schallschutzberechnungen);Punkt;224
01.03.06;#002.8024;;Gebäudelinie innen;Linie;224
01.03.06;#002.8025;;EFH (Erdgeschoss-Fußboden-Höhe) ;Punkt;225
01.03.06;#002.8025;;Gebäudelinie unterirdisch (allgem.);Linie;225
01.03.06;#002.8026;;Wohnhaus aus Digitalisierung / Konstruktion;Punkt;226
01.03.06;#002.8026;;Gebäudelinie Wohnhaus aus Digitalisierung / Konstruktion;Linie;226
01.03.06;#002.8027;;Firsthöhe;Punkt;227
01.03.06;#002.8027;;Firstlinie Wohnhaus;Linie;227
01.03.06;#002.8028;;Wohnhaus geplant ;Punkt;228
01.03.06;#002.8028;;Gebäudelinie Wohnhaus geplant ;Linie;228
01.03.06;#002.8029;;Wohnhaus oben;Punkt;229
01.03.06;#002.8029;;Gebäudelinie Wohnhaus oben;Linie;229
01.03.06;#000.8023;;gewerblich genutztes Gebäude ;Punkt;23
01.03.06;#000.8023;;Gebäudelinie Gewerbegebäude (Aufnahme: ohne Schraffur);Linie;23
01.03.06;#002.8030;;Gebäudelinie Gewerbegebäude aus Aufnahme mit Schraffur;Linie;230
01.03.06;#002.8031;;gewerblich genutztes Gebäude aufgemessen;Punkt;231
01.03.06;#002.8031;;Gebäudelinie Gewerbegebäude aufgemessen ;Linie;231
01.03.06;#002.8032;;Gebäudelinie Gewerbegebäude aus ALK Schraffur P2;Linie;232
01.03.06;#002.8035;;Gebäudelinie aus ALK Schraffur S0 - keine Schraffur;Linie;235
01.03.06;#002.8036;;gewerblich genutztes Gebäude Digi./Konstruktion;Punkt;236
01.03.06;#002.8036;;Gebäudelinie Gewerbegebäude aus Digitalisierung / Konstruktion;Linie;236
01.03.06;#002.8037;;Firstlinie Gewerbegebäude;Linie;237
01.03.06;#002.8038;;gewerblich genutztes Gebäude geplant / im Bau;Punkt;238
01.03.06;#002.8038;;Gebäudelinie Gewerbegebäude geplant / im Bau;Linie;238
01.03.06;#002.8039;;gewerblich genutztes Gebäude oben;Punkt;239
01.03.06;#002.8039;;Gebäudelinie Gewerbegebäude oben;Linie;239
01.03.06;#000.8024;;öffentliche Gebäude ;Punkt;24
01.03.06;#000.8024;;Gebäudelinie Schraffur f. öffentl. Gebäude (50 gon fett) (bei terrestrischer Aufnahme: ohne Schraffur);Linie;24
01.03.06;#002.8040;;Gebäudelinie öffentliches Gebäude aus Aufnahme mit Schraffur ;Linie;240
01.03.06;#002.8041;;öffentliches Gebäude aufgemessen;Punkt;241
01.03.06;#002.8041;;Gebäudelinie öffentliches Gebäude aufgemessen;Linie;241
01.03.06;#002.8042;;Gebäudelinie öffentliches Gebäude aus ALK Schraffur S4;Linie;242
01.03.06;#002.8046;;öffentliches Gebäude aus Digi./Konstruktion;Punkt;246
01.03.06;#002.8046;;Gebäudelinie öffentliches Gebäude aus Digi. / Konstruktion;Linie;246
01.03.06;#002.8048;;öffentliches Gebäude geplant;Punkt;248
01.03.06;#002.8048;;Gebäudelinie öffentliches Gebäude geplant;Linie;248
01.03.06;#002.8049;;öffentliches Gebäude oben;Punkt;249
01.03.06;#002.8049;;Gebäudelinie öffentliches Gebäudelinie oben;Linie;249
01.03.06;#000.8025;;Überdachungen, Durchfahrt ;Punkt;25
01.03.06;#000.8025;;Umgrenzung der Überdachung (allgemein);Linie;25
01.03.06;#002.8051;;Überdachung/Durchfahrt aufgemessen;Punkt;251
01.03.06;#002.8051;;Umgrenzung der Überdachung / Durchfahrt (geschlossen);Linie;251
01.03.06;#002.8052;;Umgrenzung der Überdachung / Durchfahrt (offen);Linie;252
01.03.06;#002.8053;;Überdachungsdiagonale (gestrichelt);Linie;253
01.03.06;#002.8056;;Überdachung/Durchfahrt aus Digi. / Konstruktion;Punkt;256
01.03.06;#002.8059;;Überdachung oben;Punkt;259
01.03.06;#002.8059;;Überdachung oben;Linie;259
01.03.06;#000.8026;;Gebäudeanbauten;Punkt;26
01.03.06;#000.8026;;Gebäudeanbauten;Linie;26
01.03.06;#002.8061;;Kellerfenster;Punkt;261
01.03.06;#002.8062;;Lichtschacht;Punkt;262
01.03.06;#002.8062;;Lichtschacht Umrisslinie;Linie;262
01.03.06;#002.8063;;Terrasse;Punkt;263
01.03.06;#002.8063;;Terrasse Umrisslinie;Linie;263
01.03.06;#002.8065;;Gebäudeeingang;Punkt;265
01.03.06;#002.8065;;Gebäudeeingang;Linie;265
01.03.06;#002.8069;;Anbau oben;Punkt;269
01.03.06;#002.8069;;Anbau oben;Linie;269
01.03.06;#000.8027;;Bauleitplanung (Grenzpunkt);Punkt;27
01.03.06;#000.8027;;Bauleitplanung (Grenzlinie);Linie;27
01.03.06;#002.8071;;Grenzlinie Bebauungsplan;Punkt;271
01.03.06;#002.8071;;Grenzlinie Bebauungsplan;Linie;271
01.03.06;#002.8072;;Wohnbaufläche;Punkt;272
01.03.06;#002.8072;;Wohnbaufläche;Linie;272
01.03.06;#027.8021;;Kleinsiedlungsgebiet;Punkt;2721
01.03.06;#027.8021;;Kleinsiedlungsgebiet;Linie;2721
01.03.06;#027.8022;;reines Wohngebiet;Punkt;2722
01.03.06;#027.8022;;reines Wohngebiet;Linie;2722
01.03.06;#027.8023;;allgemeines Wohngebiet;Punkt;2723
01.03.06;#027.8023;;allgemeines Wohngebiet;Linie;2723
01.03.06;#027.8024;;besonderes Wohngebiet;Punkt;2724
01.03.06;#027.8024;;besonderes Wohngebiet;Linie;2724
01.03.06;#002.8073;;Gemischte Baufläche;Punkt;273
01.03.06;#002.8073;;Gemischte Baufläche;Linie;273
01.03.06;#027.8031;;Dorfgebiet;Punkt;2731
01.03.06;#027.8031;;Dorfgebiet;Linie;2731
01.03.06;#027.8032;;Mischgebiet;Punkt;2732
01.03.06;#027.8032;;Mischgebiet;Linie;2732
01.03.06;#027.8033;;Kerngebiet;Punkt;2733
01.03.06;#027.8033;;Kerngebiet;Linie;2733
01.03.06;#002.8074;;Gewerbliche Baufläche;Punkt;274
01.03.06;#002.8074;;Gewerbliche Baufläche;Linie;274
01.03.06;#027.8041;;Gewerbegebiet;Punkt;2741
01.03.06;#027.8041;;Gewerbegebiet;Linie;2741
01.03.06;#027.8042;;Industriegebiet;Punkt;2742
01.03.06;#027.8042;;Industriegebiet;Linie;2742
01.03.06;#002.8075;;Sonderbauflächen;Punkt;275
01.03.06;#002.8075;;Sonderbauflächen;Linie;275
01.03.06;#027.8051;;sonstige Sondergebiete (Krankenhaus);Punkt;2751
01.03.06;#027.8051;;sonstige Sondergebiete (Krankenhaus);Linie;2751
01.03.06;#027.8052;;sonstige Sondergebiete (Schule);Punkt;2752
01.03.06;#027.8052;;sonstige Sondergebiete (Schule);Linie;2752
01.03.06;#002.8076;;Grenzpunkt Flächennutzungsplan;Punkt;276
01.03.06;#002.8076;;Grenzlinie Flächennutzungsplan;Linie;276
01.03.06;#000.8028;;Gemarkungsgrenzpunkt (allgemein);Punkt;28
01.03.06;#000.8028;;Gemarkungsgrenze (allgemein);Linie;28
01.03.06;#002.8080;;Gemarkungsgrenze;Linie;280
01.03.06;#002.8081;;Gemarkungsgrenzpunkt aufgemessen;Punkt;281
01.03.06;#002.8081;;Flurgrenze;Linie;281
01.03.06;#002.8082;;Gemarkungsgrenzpunkt amtl. Koordinaten;Punkt;282
01.03.06;#002.8082;;Gemeinde-, Stadtgrenze;Linie;282
01.03.06;#002.8083;;Kreisgrenze;Linie;283
01.03.06;#002.8084;;Grenze der Region;Linie;284
01.03.06;#002.8085;;Gemarkungsgrenzpunkt unvermarkt;Punkt;285
01.03.06;#002.8085;;RP-Bezirksgrenze;Linie;285
01.03.06;#002.8086;;Gemarkungsgrenzpunkt aus Digi. / Konstruktion;Punkt;286
01.03.06;#002.8086;;Landes- (Staats-) grenze;Linie;286
01.03.06;#002.8087;;Bundesgrenze;Linie;287
01.03.06;#000.8029;;Nutzungsgrenze ;Punkt;29
01.03.06;#000.8029;;Nutzungsgrenzlinie (auch aus ALK);Linie;29
01.03.06;#002.8090;;Nutzungsgrenze aus Befliegung oder Geländeaufnahme;Punkt;290
01.03.06;#002.8090;;Nutzungsgrenzlinie aus Befliegung oder Geländeaufnahme;Linie;290
01.03.06;#002.8092;;Nutzungsgrenze aus amtl. Koordinaten;Punkt;292
01.03.06;#002.8095;;Acker;Linie;295
01.03.06;#002.8096;;Funktionsfläche (z. B. Tank- und Rastanlagen);Linie;296
01.03.06;#002.8097;;Grünland (intensiv);Linie;297
01.03.06;#002.8098;;Grünland (extensiv);Linie;298
01.03.06;#002.8099;;Brachfläche, Unland;Linie;299
01.03.06;#000.8030;;Wegrand ;Punkt;30
01.03.06;#000.8030;;Wegrand ;Linie;30
01.03.06;#003.8001;;Wegrand aufgemessen;Punkt;301
01.03.06;#003.8001;;Grasweg / Erdweg;Linie;301
01.03.06;#003.8002;;Wegrand aus berechneten Koordinaten;Punkt;302
01.03.06;#003.8002;;wassergebunden befestigter Weg;Linie;302
01.03.06;#003.8003;;bit. befestigter Weg;Linie;303
01.03.06;#003.8004;;gepflasterter Weg;Linie;304
01.03.06;#003.8005;;Wegmitte;Punkt;305
01.03.06;#003.8005;;sonstiger befestigter Weg;Linie;305
01.03.06;#003.8006;;Wegrand digitalisiert / Konstruktion;Punkt;306
01.03.06;#003.8006;;bit. Gehweg;Linie;306
01.03.06;#003.8007;;bit. Radweg;Linie;307
01.03.06;#003.8008;;bit. kombinierter Rad-/Gehweg;Linie;308
01.03.06;#003.8009;;bit. Mehrzweckweg;Linie;309
01.03.06;#000.8031;;Mulde (Tiefpunkt);Punkt;31
01.03.06;#000.8031;;Muldensohle;Linie;31
01.03.06;#003.8011;;Mulde unbefestigt;Linie;311
01.03.06;#003.8012;;Mulde befestigt;Linie;312
01.03.06;#003.8019;;Muldenaußenrand (Punkt der Begrenzungslinie);Punkt;319
01.03.06;#003.8019;;Muldenaußenrandlinie;Linie;319
01.03.06;#000.8032;;Wasserbauwerke;Punkt;32
01.03.06;#000.8032;;Wasserbauwerke;Linie;32
01.03.06;#003.8026;;Wehr;Punkt;326
01.03.06;#003.8026;;Wehr;Linie;326
01.03.06;#003.8027;;Rechen;Punkt;327
01.03.06;#003.8027;;Rechen;Linie;327
01.03.06;#003.8028;;Schleuse;Punkt;328
01.03.06;#003.8028;;Schleuse;Linie;328
01.03.06;#000.8033;;Mauer unten ;Punkt;33
01.03.06;#000.8033;;Mauer unten;Linie;33
01.03.06;#003.8030;;Mauer Umrissline unten;Linie;330
01.03.06;#003.8031;;Hinterkante Mauer unten (i. d. R. ohne Darstellung);Linie;331
01.03.06;#003.8032;;Mauer rechts d=20 cm (Dicke);Linie;332
01.03.06;#003.8033;;Mauer rechts d=30 cm (Dicke);Linie;333
01.03.06;#003.8034;;Mauer rechts d=40 cm (Dicke);Linie;334
01.03.06;#003.8035;;Mauer rechts d=50 cm (Dicke);Linie;335
01.03.06;#003.8036;;Mauer rechts d=60 cm (Dicke);Linie;336
01.03.06;#000.8034;;Mauer oben;Punkt;34
01.03.06;#000.8034;;Mauer oben;Linie;34
01.03.06;#003.8040;;Mauer Umrissline oben;Linie;340
01.03.06;#003.8041;;L-Steine;Punkt;341
01.03.06;#003.8041;;L-Steine (rechts);Linie;341
01.03.06;#003.8042;;U-Steine;Punkt;342
01.03.06;#003.8042;;U-Steine (rechts);Linie;342
01.03.06;#003.8043;;Gabionen;Punkt;343
01.03.06;#003.8043;;Gabionen (rechts);Linie;343
01.03.06;#000.8035;;Schienenoberkante;Punkt;35
01.03.06;#000.8035;;Schiene;Linie;35
01.03.06;#003.8051;;Punkt einer Schienen-Mittellinie;Punkt;351
01.03.06;#003.8051;;Schienenmittellinie - Gleisachse (Normalspur);Linie;351
01.03.06;#003.8052;;Schienenmittellinie - Gleisachse (1 m - Spur);Linie;352
01.03.06;#003.8053;;Schienenmittellinie - Gleisachse (0.75 m - Spur);Linie;353
01.03.06;#003.8057;;Schotterbett unten;Punkt;357
01.03.06;#003.8057;;Schotterbett unten;Linie;357
01.03.06;#003.8058;;Schotterbett oben;Punkt;358
01.03.06;#003.8058;;Schotterbett oben;Linie;358
01.03.06;#000.8036;;Rand einer befestigten Fläche;Punkt;36
01.03.06;#000.8036;;Rand einer befestigten Fläche;Linie;36
01.03.06;#003.8061;;Betonbefestigung;Punkt;361
01.03.06;#003.8061;;Betonbefestigung;Linie;361
01.03.06;#003.8062;;bituminöse Befestigung;Punkt;362
01.03.06;#003.8062;;bituminöse Befestigung;Linie;362
01.03.06;#003.8063;;Pflaster Naturstein;Punkt;363
01.03.06;#003.8063;;Pflaster Naturstein;Linie;363
01.03.06;#003.8064;;Pflaster Kunststein;Punkt;364
01.03.06;#003.8064;;Pflaster Kunststein;Linie;364
01.03.06;#003.8065;;wassergebundene Befestigung;Punkt;365
01.03.06;#003.8065;;wassergebundene Befestigung;Linie;365
01.03.06;#003.8067;;Rasengittersteine;Punkt;367
01.03.06;#003.8067;;Rasengittersteine;Linie;367
01.03.06;#003.8069;;sonstige Befestigung;Punkt;369
01.03.06;#003.8069;;sonstige Befestigung;Linie;369
01.03.06;#000.8037;;Graben unten;Punkt;37
01.03.06;#000.8037;;Graben unten;Linie;37
01.03.06;#003.8075;;Grabentiefpunkt / Grabenmitte;Punkt;375
01.03.06;#003.8075;;Grabensohle / Grabenmitte;Linie;375
01.03.06;#000.8038;;Graben oben;Punkt;38
01.03.06;#000.8038;;Graben oben;Linie;38
01.03.06;#000.8039;;sonst. topographische Punkte;Punkt;39
01.03.06;#000.8039;;sonst. topographische Linien;Linie;39
01.03.06;#003.8090;;Punkt einer topografische Linie aus ALK;Punkt;390
01.03.06;#003.8092;;topographische Linie aus ALK;Linie;392
01.03.06;#003.8093;;topographische Linie von DRITTEN;Linie;393
01.03.06;#003.8094;;herausfallender Punkt aus ALK;Punkt;394
01.03.06;#003.8095;;historischer Punkt aus ALK;Punkt;395
01.03.06;#003.8095;;überdeckte topografische Linie aus ALK;Linie;395
01.03.06;#003.8097;;Böschungslinie unten aus ALK;Linie;397
01.03.06;#003.8098;;Böschungslinie oben aus ALK;Linie;398
01.03.06;#003.8099;;Punkt ohne Kennung aus ALK ;Punkt;399
01.03.06;#003.8099;;Linie ohne Kennung aus ALK;Linie;399
01.03.06;#000.8040;;Brückenwiderlager;Punkt;40
01.03.06;#000.8040;;Brückenwiderlager;Linie;40
01.03.06;#004.8000;;Kreuzungspunkt des BW;Punkt;400
01.03.06;#004.8001;;Brückenwiderlager unten;Punkt;401
01.03.06;#004.8001;;Brückenwiderlager unten;Linie;401
01.03.06;#004.8002;;Brückenwiderlager oben;Punkt;402
