Datum;Fachbedeutung;RAS-Verm;Bezeichnung;Symbolart;Landescode;Ebene;Bemerkung;Kategorie I;Kategorie II
06.12.2012;#222.5001;;Geländepunkt;Punkt;a07;1100;;Lageplan Bestand;Kartenzeichen RAS-Verm
06.12.2012;#232.5001;;Geschwindigkeitsmeßanlage;Punkt;a18;1145;;Lageplan Bestand;Kartenzeichen RAS-Verm
03.11.2014;#232.5002;;Geschwindigkeitsregelanlage seitlich;Punkt;Z23;1145;;Lageplan Bestand;Kartenzeichen RAS-Verm
03.11.2014;#232.5003;;Geschwindigkeitsregelanlage Brücke;Punkt;Z24;1145;;Lageplan Bestand;Kartenzeichen RAS-Verm
03.11.2014;#232.5003;;Geschwindigkeitsregelanlage Brücke;Linie;n22;1145;;Lageplan Bestand;Kartenzeichen RAS-Verm
06.12.2012;#254.5001;;Telefonmast;Punkt;a33;1400;;Lageplan Bestand;Kartenzeichen RAS-Verm
06.12.2012;#254.5002;;Hochspannungsmast;Punkt;a30;1400;;Lageplan Bestand;Kartenzeichen RAS-Verm
06.12.2012;#254.5003;;Niederspannungsmast;Punkt;a31;1400;;Lageplan Bestand;Kartenzeichen RAS-Verm
16.09.2014;#999.5001;;Litfaßsäule;Punkt;a65;1125;;Lageplan Bestand;Kartenzeichen RAS-Verm
06.12.2012;0039.0000;1.4.2;Nordpfeil;Punkt;M51;1351;;Lageplan Allgemein;Plangestaltung
06.12.2012;0111.0000;2.6.3.1;Grenzmarken an Staats-, Landesgrenze;Punkt;C01;1010;;Lageplan Bestand;Kartenzeichen RAS-Verm
06.12.2012;0111.0000;2.6.3.1;Grenzmarken an Staats-, Landesgrenze;Text;1;1015;;Lageplan Bestand;Kartenzeichen RAS-Verm
06.12.2012;0112.0000;2.6.3.2;Grenzsäule an Staats-, Landesgrenze;Punkt;C17;1010;;Lageplan Bestand;Kartenzeichen RAS-Verm
06.12.2012;0114.0000;2.7.4.5;Jagenstein, Abteilungsstein;Punkt;G21;1110;;Lageplan Bestand;Kartenzeichen RAS-Verm
06.12.2012;0118.0000;2.6.3.3;Abgemarkter Grenzpunkt;Punkt;C14;1010;;Lageplan Bestand;Kartenzeichen RAS-Verm
06.12.2012;0118.5001;;Grenzpunkt;Punkt;a05;1010;;Lageplan Bestand;Kartenzeichen RAS-Verm
06.12.2012;0119.0000;2.6.3.4;Nicht abgemarkter Grenzpunkt;Punkt;C16;1010;;Lageplan Bestand;Kartenzeichen RAS-Verm
06.12.2012;0121.0000;2.1.2;Polygonpunkt;Punkt;a02;1200;;Lageplan Bestand;Kartenzeichen RAS-Verm
06.12.2012;0121.0000;2.1.2;Polygonpunkt;Text;1;1115;;Lageplan Bestand;Kartenzeichen RAS-Verm
06.12.2012;0122.0000;2.1.2;Aufnahmepunkt;Punkt;a02;1200;;Lageplan Bestand;Kartenzeichen RAS-Verm
06.12.2012;0122.0000;2.1.2;Aufnahmepunkt;Text;1;1200;;Lageplan Bestand;Kartenzeichen RAS-Verm
26.09.2014;#122.5002;;Absteckpunkt;Punkt;Z22;1999;;Lageplan Bestand;Kartenzeichen RAS-Verm
06.12.2012;0122.5001;;Aufnahmepunkt, Polygonpunkt;Punkt;a02;1200;;Lageplan Bestand;Kartenzeichen RAS-Verm
25.10.2001;0123.0000;2.1.4;Kleinpunkt  (vermarkt), Punkt in Messungslinie;Punkt;E04;1200;;Lageplan Bestand;Kartenzeichen RAS-Verm
25.10.2001;0123.0000;2.1.4;Kleinpunkt  (vermarkt), Punkt in Messungslinie;Text;1;1115;;Lageplan Bestand;Kartenzeichen RAS-Verm
25.10.2001;0126.0000;2.1.3;Beobachtungspfeiler der Straßenbauverwaltung;Punkt;a03;1200;;Lageplan Bestand;Kartenzeichen RAS-Verm
06.06.2003;0126.0000;2.1.3;Beobachtungspfeiler der Straßenbauverwaltung;Text;1;1200;;Lageplan Bestand;Kartenzeichen RAS-Verm
06.12.2012;0126.5001;;Beobachtungspfeiler;Punkt;a03;1200;;Lageplan Bestand;Kartenzeichen RAS-Verm
06.12.2012;0127.0000;2.1.2;Polygonpunkt der Straßenbauverwaltung;Punkt;a02;1200;;Lageplan Bestand;Kartenzeichen RAS-Verm
06.12.2012;0127.0000;2.1.2;Polygonpunkt der Straßenbauverwaltung;Text;1;1115;;Lageplan Bestand;Kartenzeichen RAS-Verm
06.12.2012;0141.0000;2.1.6.1;Pfeilerbolzen;Punkt;a04;1200;;Lageplan Bestand;Kartenzeichen RAS-Verm
06.12.2012;0141.0000;2.1.6.1;Pfeilerbolzen;Text;1;1115;;Lageplan Bestand;Kartenzeichen RAS-Verm
06.12.2012;0142.0000;2.1.6.2;Mauerbolzen;Punkt;a04;1200;;Lageplan Bestand;Kartenzeichen RAS-Verm
06.12.2012;0142.0000;2.1.6.2;Mauerbolzen;Text;1;1115;;Lageplan Bestand;Kartenzeichen RAS-Verm
06.12.2012;0144.0000;2.1.6.3;Höhenmarke;Punkt;a04;1200;;Lageplan Bestand;Kartenzeichen RAS-Verm
06.12.2012;0144.0000;2.1.6.3;Höhenmarke;Text;1;1115;;Lageplan Bestand;Kartenzeichen RAS-Verm
06.12.2012;0147.0000;2.1.6.4;HP = PP;Punkt;a04;1200;;Lageplan Bestand;Kartenzeichen RAS-Verm
06.12.2012;0147.0000;2.1.6.4;HP = PP;Text;1;1200;;Lageplan Bestand;Kartenzeichen RAS-Verm
26.09.2014;#147.5002;;HP Bundesautobahn;Punkt;D03;1200;;Lageplan Bestand;Kartenzeichen RAS-Verm
26.09.2014;#147.5002;;HP Bundesautobahn;Text;2;1200;;Lageplan Bestand;Kartenzeichen RAS-Verm
06.12.2012;0147.5001;;Höhenpunkt = Polygonpunkt;Punkt;a04;1200;;Lageplan Bestand;Kartenzeichen RAS-Verm
06.12.2012;0162.0000;2.1.1;Bodenpunkt;Punkt;a01;1200;;Lageplan Bestand;Kartenzeichen RAS-Verm
06.12.2012;0211.0000;2.6.1.1;Staatsgrenze;Linie;p02;1010;;Lageplan Bestand;Kartenzeichen RAS-Verm
06.12.2012;0212.0000;2.6.1.2;Landesgrenze;Linie;p03;1010;;Lageplan Bestand;Kartenzeichen RAS-Verm
06.12.2012;0213.0000;2.6.1.3;Regierungsbezirksgrenze;Linie;p04;1010;;Lageplan Bestand;Kartenzeichen RAS-Verm
06.12.2012;0214.0000;2.6.1.4;Kreisgrenze;Linie;p05;1010;;Lageplan Bestand;Kartenzeichen RAS-Verm
06.12.2012;0215.0000;2.6.1.5;Gemeindegrenze;Linie;p06;1010;;Lageplan Bestand;Kartenzeichen RAS-Verm
06.12.2012;0231.0000;2.6.1.6;Gemarkungsgrenze;Linie;p07;1010;;Lageplan Bestand;Kartenzeichen RAS-Verm
06.12.2012;0232.0000;2.6.1.7;Flurgrenze;Linie;p08;1010;;Lageplan Bestand;Kartenzeichen RAS-Verm
06.12.2012;0232.0000;3.1.6;Flurnummer;Text;1;1015;;Lageplan Bestand;Kartenzeichen RAS-Verm
06.12.2012;0233.0000;2.6.1.8;Flurstücksgrenze;Linie;p09;1010;;Lageplan Bestand;Kartenzeichen RAS-Verm
06.12.2012;0233.0000;3.1.7;Flurstücksnummer;Text;1;1015;;Lageplan Bestand;Kartenzeichen RAS-Verm
06.12.2012;0234.0000;3.1.8;Flurstücksnummer in besonderer Darstellung;Text;1;1015;;Lageplan Bestand;Kartenzeichen RAS-Verm
06.12.2012;0235.0000;2.6.1.9;Strittige Grenze;Linie;p10;1010;;Lageplan Bestand;Kartenzeichen RAS-Verm
23.07.2013;0241.0000;2.2.7.34;Nutzungsartengrenze;Linie;m19;1100;;Lageplan Bestand;Kartenzeichen RAS-Verm
23.07.2013;0241.0000;2.2.7.34;Nutzungsartengrenze;Flaeche;0;1100;;Lageplan Bestand;Kartenzeichen RAS-Verm
06.12.2012;0248.0000;2.6.1.10;Flurstücksgrenze als Mittellinie in Gewässern;Linie;p11;1010;;Lageplan Bestand;Kartenzeichen RAS-Verm
23.07.2013;0251.0000;2.2.6;Topographische   (Begrenzungs-) Linie;Linie;m17;1100;;Lageplan Bestand;Kartenzeichen RAS-Verm
23.07.2013;0252.0000;2.2.6.1;Überdeckte topographische (Begrenzungs-) Linie;Linie;m18;1110;;Lageplan Bestand;Kartenzeichen RAS-Verm
26.09.2014;0253.0000;2.3.3.10;Topographische Zuordnungslinie;Linie;m70;1115;;Lageplan Bestand;Kartenzeichen RAS-Verm
11.06.2014;#253.5001;;Fundamentbegrenzungslinie;Linie;2;1100;Stift 2;Lageplan Bestand;Kartenzeichen RAS-Verm
03.11.2014;#254.5001;;Zuordnungspfeil (Pfeilspitze offen);Linie;n26;1115;;Lageplan Allgemein;Plangestaltung
03.11.2014;#254.5002;;Zuordnungspfeil (Pfeilspitze offen Mitte);Linie;n27;1115;;Lageplan Allgemein;Plangestaltung
03.11.2014;#254.5003;;Zuordnungspfeil (Pfeilspitze gefüllt);Linie;n28;1115;;Lageplan Allgemein;Plangestaltung
03.11.2014;#254.5004;;Pfeilspitze offen ;Punkt;Z25;1115;;Lageplan Allgemein;Plangestaltung
03.11.2014;#254.5005;;Pfeilspitze gefüllt;Punkt;Z26;1115;;Lageplan Allgemein;Plangestaltung
06.12.2012;0265.0000;2.6.1.11;Bauamtsgrenze;Linie;p12;1010;;Lageplan Bestand;Kartenzeichen RAS-Verm
06.12.2012;0266.0000;2.6.1.12;Meistereigrenze;Linie;p13;1010;;Lageplan Bestand;Kartenzeichen RAS-Verm
06.12.2012;0271.0000;2.7.5.13;Zollgrenze, nicht gleichzeitig politische Grenze;Linie;p31;1120;;Lageplan Bestand;Kartenzeichen RAS-Verm
06.12.2012;0272.0000;2.7.5.1;Gesetzliche Überschwemmungsgrenze;Linie;p19;1120;;Lageplan Bestand;Kartenzeichen RAS-Verm
06.12.2012;0272.0000;2.7.5.1;Gesetzliche Überschwemmungsgrenze;Text;1;1120;;Lageplan Bestand;Kartenzeichen RAS-Verm
06.12.2012;0273.0000;2.7.5.2;Hochwassergrenze;Linie;p20;1120;;Lageplan Bestand;Kartenzeichen RAS-Verm
06.12.2012;0273.0000;2.7.5.2;Hochwassergrenze;Text;1;1120;;Lageplan Bestand;Kartenzeichen RAS-Verm
06.12.2012;0274.0000;2.7.5.14;Mittleres Tidehochwasser;Linie;p32;1120;;Lageplan Bestand;Kartenzeichen RAS-Verm
06.12.2012;0275.0000;2.7.5.3;Markscheide;Linie;p21;1120;;Lageplan Bestand;Kartenzeichen RAS-Verm
06.12.2012;0276.0000;2.7.5.4;Naturschutzgebietsgrenze;Linie;p22;1120;;Lageplan Bestand;Kartenzeichen RAS-Verm
06.12.2012;0277.0000;2.7.5.5;Landschaftsschutz- Gebietsgrenze;Linie;p23;1120;;Lageplan Bestand;Kartenzeichen RAS-Verm
06.12.2012;0278.0000;2.7.5.6;Wasserschutzgebietsgrenze;Linie;p24;1170;;Lageplan Bestand;Kartenzeichen RAS-Verm
06.12.2012;0279.0000;2.7.5.7;Lärmschutzbereichsgrenze;Linie;p25;1140;;Lageplan Bestand;Kartenzeichen RAS-Verm
06.12.2012;0281.0000;2.7.5.8;Heilquellenschutz- Gebietsgrenze;Linie;p26;1170;;Lageplan Bestand;Kartenzeichen RAS-Verm
06.12.2012;0282.0000;2.7.5.9;Pegelschutzgebietsgrenze;Linie;p27;1120;;Lageplan Bestand;Kartenzeichen RAS-Verm
06.12.2012;0283.0000;2.7.5.10;Denkmalzone (Grenze);Linie;p28;1120;;Lageplan Bestand;Kartenzeichen RAS-Verm
06.12.2012;0284.0000;2.7.5.11;Grabungsschutzgebietsgrenze;Linie;p29;1120;;Lageplan Bestand;Kartenzeichen RAS-Verm
06.12.2012;0285.0000;2.7.5.12;Altlasten (Grenze);Linie;p30;1120;;Lageplan Bestand;Kartenzeichen RAS-Verm
06.12.2012;0286.0000;2.7.5.15;Flurbereinigungsverfahren (Grenze);Linie;p33;1016;;Lageplan Bestand;Kartenzeichen RAS-Verm
06.12.2012;0287.0000;2.7.5.16;Umlegungsverfahren (Grenze);Linie;p34;1016;;Lageplan Bestand;Kartenzeichen RAS-Verm
06.12.2012;0288.0000;2.7.5.17;Sanierungsverfahren (Grenze);Linie;p35;1016;;Lageplan Bestand;Kartenzeichen RAS-Verm
06.12.2012;0289.0000;2.7.5.18;Andere öffentlichrechtliche Grenze;Linie;p36;1010;;Lageplan Bestand;Kartenzeichen RAS-Verm
06.12.2012;0289.0000;2.7.5.18;Andere öffentlichrechtliche Grenze;Text;1;1015;;Lageplan Bestand;Kartenzeichen RAS-Verm
06.12.2012;0291.0000;2.6.2.1;Zugehörigkeitshaken;Punkt;C06;1010;;Lageplan Bestand;Kartenzeichen RAS-Verm
26.09.2014;0291.5001;2.6.2.1;Zugehörigkeitshaken unten;Punkt;C09;1013;;Lageplan Bestand;Kartenzeichen RAS-Verm
26.09.2014;0291.5002;2.6.2.1;Zugehörigkeitshaken oben;Punkt;C08;1013;;Lageplan Bestand;Kartenzeichen RAS-Verm
26.09.2014;#029.5003;;Hinweis auf Eigentumsverhältnisse;Punkt;Z09;1013;;Lageplan Bestand;Kartenzeichen RAS-Verm
06.12.2012;0292.0000;2.6.2.2;Zuordnungspfeil;Punkt;C31;1010;;Lageplan Bestand;Kartenzeichen RAS-Verm
06.12.2012;0311.0000;2.6.4.1;Grenzhecke;Linie;p38;1010;;Lageplan Bestand;Kartenzeichen RAS-Verm
06.12.2012;0312.0000;2.6.4.2;Grenzzaun;Linie;p41;1010;;Lageplan Bestand;Kartenzeichen RAS-Verm
06.12.2012;0313.0000;2.6.4.3;Grenzmauer;Linie;p44;1010;;Lageplan Bestand;Kartenzeichen RAS-Verm
06.12.2012;0315.0000;2.6.4.6;Grenzwall ohne Bewachsung;Linie;p53;1010;;Lageplan Bestand;Kartenzeichen RAS-Verm
06.12.2012;0316.0000;2.6.4.7;Grenzwall mit Bewachsung;Linie;p56;1010;;Lageplan Bestand;Kartenzeichen RAS-Verm
06.12.2012;0317.0000;2.6.4.8;Grenzrain;Linie;p59;1010;;Lageplan Bestand;Kartenzeichen RAS-Verm
06.12.2012;0318.0000;2.6.4.9;Wasserführender Grenzgraben;Linie;p62;1010;;Lageplan Bestand;Kartenzeichen RAS-Verm
06.12.2012;0319.0000;2.6.4.10;Trockener Grenzgraben;Linie;p65;1010;;Lageplan Bestand;Kartenzeichen RAS-Verm
07.04.2014;0321.0000;2.6.4.4;Futtermauer, Stützmauer als Grenzmauer;Linie;p47;1010;;Lageplan Bestand;Kartenzeichen RAS-Verm
07.04.2014;0323.0000;2.6.4.5;Spundmauer als Grenzeinrichtung;Linie;p50;1010;;Lageplan Bestand;Kartenzeichen RAS-Verm
06.12.2012;0351.0000;2.2.11;Hecke, topographisch bedeutend (nicht DGM);Linie;m29;1110;;Lageplan Bestand;Kartenzeichen RAS-Verm
06.12.2012;0356.0000;2.7.4.9;Hecktor;Punkt;G25;1120;;Lageplan Bestand;Kartenzeichen RAS-Verm
06.12.2012;0411.0000;2.2.3.1;Höhenlinie - 20 Meter;Linie;m01;1120;;Lageplan Bestand;Kartenzeichen RAS-Verm
06.12.2012;0411.0000;2.2.3.1;Höhenlinie - 20 Meter;Text;1;1120;;Lageplan Bestand;Kartenzeichen RAS-Verm
06.12.2012;0412.0000;2.2.3.2;Höhenlinie - 10 Meter;Linie;m02;1120;;Lageplan Bestand;Kartenzeichen RAS-Verm
06.12.2012;0412.0000;2.2.3.2;Höhenlinie - 10 Meter;Text;1;1120;;Lageplan Bestand;Kartenzeichen RAS-Verm
06.12.2012;0413.0000;2.2.3.3;Höhenlinie - 5 Meter;Linie;m03;1120;;Lageplan Bestand;Kartenzeichen RAS-Verm
06.12.2012;0413.0000;2.2.3.3;Höhenlinie - 5 Meter;Text;1;1120;;Lageplan Bestand;Kartenzeichen RAS-Verm
06.12.2012;0414.0000;2.2.3.4;Höhenlinie - 2,5 Meter;Linie;m04;1120;;Lageplan Bestand;Kartenzeichen RAS-Verm
06.12.2012;0414.0000;2.2.3.4;Höhenlinie - 2,5 Meter;Text;1;1120;;Lageplan Bestand;Kartenzeichen RAS-Verm
06.12.2012;0415.0000;2.2.3.5;Höhenlinie - 1 Meter;Linie;m05;1120;;Lageplan Bestand;Kartenzeichen RAS-Verm
06.12.2012;0415.0000;2.2.3.5;Höhenlinie - 1 Meter;Text;1;1120;;Lageplan Bestand;Kartenzeichen RAS-Verm
06.12.2012;0416.0000;2.2.3.6;Höhenlinie - 0,5/0.25 Meter;Linie;m06;1120;;Lageplan Bestand;Kartenzeichen RAS-Verm
06.12.2012;0416.0000;2.2.3.6;Höhenlinie - 0,5/0.25 Meter;Text;1;1120;;Lageplan Bestand;Kartenzeichen RAS-Verm
06.12.2012;0416.0001;;Höhenlinie - 0.25 Meter;Linie;1;1120;Stift 1;Lageplan Bestand;Kartenzeichen RAS-Verm
06.12.2012;0416.0001;;Höhenlinie - 0.25 Meter;Text;1;1120;;Lageplan Bestand;Kartenzeichen RAS-Verm
06.12.2012;0416.0002;;Höhenlinie - 0,1 Meter;Linie;1;1120;Stift 1;Lageplan Bestand;Kartenzeichen RAS-Verm
06.12.2012;0416.0002;;Höhenlinie - 0,1 Meter;Text;1;1120;;Lageplan Bestand;Kartenzeichen RAS-Verm
06.12.2012;0416.0003;;Höhenlinie - 0,05 Meter;Linie;1;1120;Stift 1;Lageplan Bestand;Kartenzeichen RAS-Verm
06.12.2012;0416.0003;;Höhenlinie - 0,05 Meter;Text;1;1120;;Lageplan Bestand;Kartenzeichen RAS-Verm
06.12.2012;0416.0004;;Höhenlinie - 0,025 Meter;Linie;1;1120;Stift 1;Lageplan Bestand;Kartenzeichen RAS-Verm
06.12.2012;0416.0004;;Höhenlinie - 0,025 Meter;Text;1;1120;;Lageplan Bestand;Kartenzeichen RAS-Verm
06.12.2012;0416.0005;;Höhenlinie - 0,01 Meter;Linie;1;1120;Stift 1;Lageplan Bestand;Kartenzeichen RAS-Verm
06.12.2012;0416.0005;;Höhenlinie - 0,01 Meter;Text;1;1120;;Lageplan Bestand;Kartenzeichen RAS-Verm
06.12.2012;0416.0006;;Höhenlinie - Sonstige;Linie;1;1120;Stift 1;Lageplan Bestand;Kartenzeichen RAS-Verm
06.12.2012;0416.0006;;Höhenlinie - Sonstige;Text;1;1120;;Lageplan Bestand;Kartenzeichen RAS-Verm
06.12.2012;0431.0000;2.2.2.1;Höhenpunkt mit Höhenzahl;Punkt;B50;1100;;Lageplan Bestand;Kartenzeichen RAS-Verm
06.12.2012;0431.0001;2.2.2.1;Höhenpunkt mit Höhenzahl;Text;1;1115;;Lageplan Bestand;Kartenzeichen RAS-Verm
06.12.2012;0435.0000;2.2.2.2;Einzelhöhe;Punkt;a07;1100;;Lageplan Bestand;Kartenzeichen RAS-Verm
06.12.2012;0435.0001;2.2.2.2;Einzelhöhe;Text;1;1115;;Lageplan Bestand;Kartenzeichen RAS-Verm
06.12.2012;0441.0000;2.2.4;Fels;Linie;m08;1110;;Lageplan Bestand;Kartenzeichen RAS-Verm
16.09.2014;#441.5001;;Fels;Punkt;Z15;1110;;Lageplan Bestand;Kartenzeichen RAS-Verm
06.12.2012;0463.0000;2.2.1.8;Befestigte Böschung;Linie;61;1100;;Lageplan Bestand;Kartenzeichen RAS-Verm
06.12.2012;0474.0000;2.3.9.2;Spundwand;Linie;m82;1100;;Lageplan Bestand;Kartenzeichen RAS-Verm
06.12.2012;0481.0000;2.2.1.1;Deutliche Böschungsoberkante;Linie;m09;1100;;Lageplan Bestand;Kartenzeichen RAS-Verm
06.12.2012;0482.0000;2.2.1.3;Undeutliche Böschungsoberkante;Linie;m11;1100;;Lageplan Bestand;Kartenzeichen RAS-Verm
06.12.2012;0484.0000;2.2.1.2;Deutliche Böschungsunterkante;Linie;m10;1100;;Lageplan Bestand;Kartenzeichen RAS-Verm
06.12.2012;0485.0000;2.2.1.4;Undeutliche Böschungsunterkante;Linie;m12;1100;;Lageplan Bestand;Kartenzeichen RAS-Verm
08.03.2013;0486.0000;2.2.1.6;Böschung (Schraffen);Linie;1;1185;Stift 1;Lageplan Bestand;Kartenzeichen RAS-Verm
06.12.2012;0487.0000;2.2.1.7;Angedeutete Böschungsrichtung OK nicht erfasst;Linie;m13;1120;;Lageplan Bestand;Kartenzeichen RAS-Verm
06.12.2012;0487.0001;;Angedeutete Böschungsrichtung UK nicht erfasst;Linie;m14;1120;;Lageplan Bestand;Kartenzeichen RAS-Verm
06.12.2012;0492.0000;2.2.1.5;Böschungshöhe;Text;1;1120;;Lageplan Bestand;Kartenzeichen RAS-Verm
06.12.2012;0611.0000;3.1.1;Stadtgemeinde;Text;1;1015;;Lageplan Bestand;Kartenzeichen RAS-Verm
06.12.2012;0612.0000;3.1.2;Landgemeinde;Text;1;1015;;Lageplan Bestand;Kartenzeichen RAS-Verm
06.12.2012;0617.0000;3.1.3;Stadtbezirk;Text;1;1015;;Lageplan Bestand;Kartenzeichen RAS-Verm
06.12.2012;0618.0000;3.1.4;Gemarkungsname;Text;1;1015;;Lageplan Bestand;Kartenzeichen RAS-Verm
06.12.2012;0646.0000;3.1.5;Gewannbezeichnung Lagebezeichnung;Text;1;1015;;Lageplan Bestand;Kartenzeichen RAS-Verm
06.12.2012;0719.0000;1.4.1;Gitterkreuz;Punkt;M50;1351;;Lageplan Bestand;Plangestaltung
06.12.2012;0719.0000;1.4.1;Gitternetzlinien;Linie;0;1351;;Lageplan Bestand;Plangestaltung
06.12.2012;0719.0001;;Schneiderahmen / Faltmarkierung;Linie;0;1351;;Lageplan Bestand;Plangestaltung
06.12.2012;0719.0002;;Heftrand;Linie;0;1351;;Lageplan Bestand;Plangestaltung
06.12.2012;0719.0003;;Koordinatenrahmen;Linie;0;1351;;Lageplan Bestand;Plangestaltung
06.12.2012;0719.0004;;Innenrahmen;Linie;0;1351;;Lageplan Bestand;Plangestaltung
06.12.2012;0719.0005;;Gitternetzbeschriftung;Text;1;1351;;Lageplan Bestand;Plangestaltung
06.12.2012;0719.0006;;Eckpunktbeschriftung;Text;1;1351;;Lageplan Bestand;Plangestaltung
06.12.2012;0719.0007;;Information im Schneiderahmen;Text;1;1351;;Lageplan Bestand;Plangestaltung
06.12.2012;0733.0000;3.2.10;Richtungshinweise im Kartenrahmen;Text;1;1015;;Lageplan Bestand;Kartenzeichen RAS-Verm
06.12.2012;1000.0000;2.2.7.17;Gebäude- und Freifläche;Text;1;1115;;Lageplan Bestand;Kartenzeichen RAS-Verm
16.09.2014;1011.0000;2.4.1.1;Hochhausbegrenzungslinie;Linie;n01;1125;;Lageplan Bestand;Kartenzeichen RAS-Verm
16.09.2014;1012.0000;2.4.1.2;Begrenzungslinie eines öffentlichen Gebäudes;Linie;n02;1125;;Lageplan Bestand;Kartenzeichen RAS-Verm
16.09.2014;1013.0000;2.4.1.3;Begrenzungslinie eines nicht öffentlichen Gebäudes;Linie;n03;1125;;Lageplan Bestand;Kartenzeichen RAS-Verm
16.09.2014;1014.0000;2.4.1.4;Offene Begrenzungslinie eines Gebäudes;Linie;n04;1125;;Lageplan Bestand;Kartenzeichen RAS-Verm
16.09.2014;1016.0000;2.4.1.5;Begrenzungslinie eines unterirdischen Gebäudes;Linie;n05;1125;;Lageplan Bestand;Kartenzeichen RAS-Verm
16.09.2014;1017.0000;2.4.1.6;Begrenzungslinie eines zerstörten Gebäudes;Linie;n06;1125;;Lageplan Bestand;Kartenzeichen RAS-Verm
06.12.2012;1017.0000;2.4.1.6;Begrenzungslinie eines zerstörten Gebäudes;Text;1;1115;;Lageplan Bestand;Kartenzeichen RAS-Verm
16.09.2014;1019.0000;2.4.4.8;Gebäudeverbindungsgang;Linie;2;1125;Stift 2;Lageplan Bestand;Kartenzeichen RAS-Verm
07.12.2012;1019.0000;2.4.4.8;Gebäudeverbindungsgang;Text;1;1115;;Lageplan Bestand;Kartenzeichen RAS-Verm
07.12.2012;1031.0000;2.4.2.1;Hausnummer;Text;1;1115;;Lageplan Bestand;Kartenzeichen RAS-Verm
07.12.2012;1033.0000;2.4.2.2;Anzahl der Vollgeschosse;Text;1;1115;;Lageplan Bestand;Kartenzeichen RAS-Verm
16.09.2014;1041.0000;2.4.4.2;Durchfahrt im Gebäude;Linie;n09;1125;;Lageplan Bestand;Kartenzeichen RAS-Verm
07.12.2012;1041.0000;2.4.4.2;Durchfahrt im Gebäude;Text;1;1115;;Lageplan Bestand;Kartenzeichen RAS-Verm
16.09.2014;1042.0000;2.4.4.3;Durchfahrt an überbauten Verkehrsstraßen;Linie;n10;1125;;Lageplan Bestand;Kartenzeichen RAS-Verm
07.12.2012;1042.0000;2.4.4.3;Durchfahrt an überbauten Verkehrsstraßen;Text;1;1115;;Lageplan Bestand;Kartenzeichen RAS-Verm
16.09.2014;1043.0000;2.4.4.5;Arkaden;Linie;n12;1125;;Lageplan Bestand;Kartenzeichen RAS-Verm
07.12.2012;1043.0000;2.4.4.5;Arkaden;Text;1;1115;;Lageplan Bestand;Kartenzeichen RAS-Verm
16.09.2014;1044.0000;2.4.5.3;Freitreppe;Linie;n15;1125;;Lageplan Bestand;Kartenzeichen RAS-Verm
16.09.2014;1045.0000;2.4.4.1;Markierung für  Überdachung, offene Halle, Durchfahrt;Linie;n08;1125;;Lageplan Bestand;Kartenzeichen RAS-Verm
07.12.2012;1045.0000;2.4.4.1;Markierung für  Überdachung, offene Halle, Durchfahrt;Text;1;1115;;Lageplan Bestand;Kartenzeichen RAS-Verm
16.09.2014;1046.0000;2.4.4.6;Aufgeständertes Haus;Linie;n13;1125;;Lageplan Bestand;Kartenzeichen RAS-Verm
07.12.2012;1046.0000;2.4.4.6;Aufgeständertes Haus;Text;1;1115;;Lageplan Bestand;Kartenzeichen RAS-Verm
16.09.2014;1047.0000;2.4.4.4;Auskragende Geschosse;Linie;n11;1125;;Lageplan Bestand;Kartenzeichen RAS-Verm
07.12.2012;1047.0000;2.4.4.4;Auskragende Geschosse;Text;1;1115;;Lageplan Bestand;Kartenzeichen RAS-Verm
16.09.2014;1048.0000;2.4.5.4;Treppenunterkante (Freitreppe);Linie;n16;1125;;Lageplan Bestand;Kartenzeichen RAS-Verm
16.09.2014;1049.0000;2.4.4.9;Rampe;Linie;n14;1125;;Lageplan Bestand;Kartenzeichen RAS-Verm
07.12.2012;1049.0000;2.4.4.9;Rampe;Text;1;1115;;Lageplan Bestand;Kartenzeichen RAS-Verm
26.09.2014;#150.5001;;Tank (Öl bzw. Gas);Linie;1;1110;Stift 1;Lageplan Bestand;Kartenzeichen RAS-Verm
26.09.2014;5736.5001;2.3.11.4;Mittelstütze Brücke;Punkt;D45;1175;;Lageplan Bestand;Kartenzeichen RAS-Verm
07.12.2012;1055.0000;2.3.11.5;Höhe Unterkante;Punkt;a07;1100;;Lageplan Bestand;Kartenzeichen RAS-Verm
07.12.2012;1055.0000;2.3.11.5;Höhe Unterkante;Text;1;1115;;Lageplan Bestand;Kartenzeichen RAS-Verm
16.09.2014;1056.0000;2.4.2.5;Höhenangaben an Gebäuden;Punkt;a07;1125;;Lageplan Bestand;Kartenzeichen RAS-Verm
07.12.2012;1056.0000;2.4.2.5;Höhenangaben an Gebäuden;Text;1;1115;;Lageplan Bestand;Kartenzeichen RAS-Verm
07.12.2012;1061.0000;2.4.3.1;Schraffur für Gebäude (50 gon);Flaeche;0;1011;;Lageplan Bestand;Kartenzeichen RAS-Verm
07.12.2012;1061.0000;2.4.3.1;Schraffur für Gebäude (50 gon);Linie;56;1011;;Lageplan Bestand;Kartenzeichen RAS-Verm
16.09.2014;1061.5001;2.4.3.1;Schraffur für Gebäude (50 gon);Flaeche;0;1125;;Lageplan Bestand;Kartenzeichen RAS-Verm
16.09.2014;1061.5001;2.4.3.1;Schraffur für Gebäude (50 gon);Linie;56;1125;;Lageplan Bestand;Kartenzeichen RAS-Verm
