Datum;Fachbedeutung;RAS-Verm;Bezeichnung;Symbolart;Landescode;;
18.07.03;#212.3001;;Äußere Randlinie im DGM;Linie;9070;;
18.06.02;#212.3001;;Linienpunkt Äußere Randlinie im DGM;Punkt;9070;;
18.07.03;#212.3002;;Innere Randlinie im DGM;Linie;9080;;
18.07.03;#212.3002;;Linienpunkt Innere Randlinie im DGM;Punkt;9080;;
;#216.3001;;Nivellementszug;Linie;1200;;
18.06.02;#216.3001;;Höhenfestpunkt (amtl.);Punkt;1200;;
18.06.02;#216.3002;;Nivellementspunkt HFP nicht überprüft;Linie;1201;;
18.06.02;#216.3002;;Nivellementspunkt HFP nicht überprüft;Punkt;1201;;
18.06.02;#216.3003;;Nivellementspunkt HFP Höhe passt;Linie;1202;;
18.06.02;#216.3003;;Nivellementspunkt HFP Höhe passt;Punkt;1202;;
18.06.02;#216.3004;;Nivellementspunkt HFP Höhe passt nicht;Linie;1203;;
18.06.02;#216.3004;;Nivellementspunkt HFP Höhe passt nicht;Punkt;1203;;
19.06.02;#217.3001;;Pegel;Punkt;4540;;
19.06.02;#221.3001;;Grüppe (Graben, Rinne);Linie;8610;;
19.06.02;#221.3001;;Linienpunkt einer Grüppe (Graben, Rinne);Punkt;8610;;
19.06.02;#222.3001;;Bruchkante / Abböschung zwischen Bruchkante;Linie;1310;
19.06.02;#222.3001;;Bruchkante / Abböschung zwischen Bruchkante;Punkt;1310;
19.06.02;#222.3002;;Formlinie;Linie;1320;
19.06.02;#222.3002;;Formlinie;Punkt;1320;
19.06.02;#223.3001;2.2.3;Höhenlinien;Linie;1330;
18.07.03;#223.3001;;Punkt in Höhenlinie;Punkt;1330;
18.07.03;#227.3001;;Rasen (Symbol);Punkt;9216;
18.07.03;#227.3002;;Sumpf (Gruppensymbol);Punkt;9246;
19.06.02;#227.3003;;Sumpf (Einzelzeichen);Punkt;9546;
19.06.02;#227.3004;;Gewässerfläche;Punkt;9285;
19.06.02;#227.3005;;Wohnbaufläche;Punkt;9291;
19.06.02;#227.3006;;gemischte Baufläche;Punkt;9292;
19.06.02;#227.3007;;Gewerbefläche;Punkt;9293;
19.06.02;#227.3008;;Sonderbaufläche;Punkt;9294;
19.06.02;#227.3009;;Pflaster;Punkt;9303;
19.06.02;#227.3010;;Verbundstein;Punkt;9304;
19.06.02;#227.3011;;Sechseckpflaster;Punkt;9305;
19.06.02;#227.3012;;Platten;Punkt;9306;
19.06.02;#227.3013;;Schotter;Punkt;9307;
19.06.02;#227.3014;;Kies;Punkt;9308;
19.06.02;#227.3015;;befestigt, aber wasser- und luftdurchlässig;Punkt;9310;
19.06.02;#227.3016;;Split;Punkt;9313;
19.06.02;#227.3017;;Mineralgemisch;Punkt;9314;
21.07.03;#227.3018;;Parkplatz;Linie;9220;
21.07.03;#227.3018;;Linienpunkt Parkplatz;Punkt;9220;
21.07.03;#227.3019;;Parkplatzfläche nur für PKW (Soundplan);Linie;9221;
;#227.3019;;Linienpunkt Parkplatzfläche nur für PKW (Soundplan);Punkt;9221;
21.07.03;#227.3020;;Parkplatzfläche nur für LKW (Soundplan);Linie;9222;
;#227.3020;;Linienpunkt Parkplatzfläche nur für LKW (Soundplan);Punkt;9222;
21.07.03;#227.3021;;Parkplatzfläche PKW + LKW (Soundplan);Linie;9223;
;#227.3021;;Linienpunkt Parkplatzfläche PKW + LKW (Soundplan);Punkt;9223;
21.07.03;#227.3022;;Außenwohnbereich (SoundPLAN);Linie;9230;
;#227.3022;;Linienpunkt Außenwohnbereich (SoundPLAN);Punkt;9230;
21.07.03;#227.3023;;bebauter Außenwohnbereich (SoundPLAN);Linie;9231;
;#227.3023;;Linienpunkt bebauter Außenwohnbereich (SoundPLAN);Punkt;9231;
21.07.03;#227.3024;;unbebauter Außenwohnbereich (SoundPLAN);Linie;9232;
;#227.3024;;Linienpunkt unbebauter Außenwohnbereich (SoundPLAN);Punkt;9232;
21.07.03;#227.3025;;Sportplatz;Linie;9242;
;#227.3025;;Linienpunkt Sportplatz;Punkt;9242;
21.07.03;#227.3026;;Tankanlage;Linie;9243;
;#227.3026;;Linienpunkt Tankanlage;Punkt;9243;
21.07.03;#227.3027;;Rastanlage;Linie;9244;
;#227.3027;;Linienpunkt Rastanlage;Punkt;9244;
21.07.03;#227.3028;;Sumpf;Linie;9246;
;#227.3028;;Linienpunkt Sumpf;Punkt;9246;
21.07.03;#227.3029;;Bahngelände;Linie;9247;
;#227.3029;;Linienpunkt Bahngelände;Punkt;9247;
21.07.03;#227.3030;;Abbauland, Halde;Linie;9248;
;#227.3030;;Linienpunkt Abbauland, Halde;Punkt;9248;
21.07.03;#227.3031;;Ausgleichsfläche ,-maßnahme;Linie;9250;
;#227.3031;;Linienpunkt Ausgleichsfläche ,-maßnahme;Punkt;9250;
21.07.03;#227.3032;;Grunderwerb;Linie;9270;
;#227.3032;;Linienpunkt Grunderwerb;Punkt;9270;
21.07.03;#227.3033;;Gebäude- und zugeh. Freifläche;Linie;9281;
;#227.3033;;Linienpunkt Gebäude- und zugeh. Freifläche;Punkt;9281;
21.07.03;#227.3034;;Öffentl. Geb. -u. zugeh. Freifl.;Linie;9282;
;#227.3034;;Linienpunkt Öffentl. Geb. -u. zugeh. Freifl.;Punkt;9282;
21.07.03;#227.3035;;Gewässerfläche;Linie;9285;
;#227.3035;;Linienpunkt Gewässerfläche;Punkt;9285;
21.07.03;#227.3036;;Baufläche gemäß BauGB;Linie;9290;
;#227.3036;;Linienpunkt Baufläche gemäß BauGB;Punkt;9290;
21.07.03;#227.3037;;Wohnbaufläche;Linie;9291;
;#227.3037;;Linienpunkt Wohnbaufläche;Punkt;9291;
21.07.03;#227.3038;;Gemischte Baufläche;Linie;9292;
;#227.3038;;Linienpunkt Gemischte Baufläche;Punkt;9292;
21.07.03;#227.3039;;Gewerbegebiet;Linie;9293;
;#227.3039;;Linienpunkt Gewerbegebiet;Punkt;9293;
21.07.03;#227.3040;;Sonderbaufläche;Linie;9294;
;#227.3040;;Linienpunkt Sonderbaufläche;Punkt;9294;
21.07.03;#227.3041;;Fläche für Ver- und Entsorgungsanlagen;Linie;9295;
;#227.3041;;Linienpunkt Fläche für Ver- und Entsorgungsanlagen;Punkt;9295;
21.07.03;#227.3042;;Befestigungsart;Linie;9300;
;#227.3042;;Linienpunkt Befestigungsart;Punkt;9300;
21.07.03;#227.3043;;Asphalt;Linie;9301;
;#227.3043;;Linienpunkt Asphalt;Punkt;9301;
21.07.03;#227.3044;;Bitumen;Linie;9302;
;#227.3044;;Linienpunkt Bitumen;Punkt;9302;
21.07.03;#227.3045;;Pflaster;Linie;9303;
;#227.3045;;Linienpunkt Pflaster;Punkt;9303;
21.07.03;#227.3046;;Verbundstein;Linie;9304;
;#227.3046;;Linienpunkt Verbundstein;Punkt;9304;
21.07.03;#227.3047;;Sechseckpflaster;Linie;9305;
;#227.3047;;Linienpunkt Sechseckpflaster;Punkt;9305;
21.07.03;#227.3048;;Platten;Linie;9306;
;#227.3048;;Linienpunkt Platten;Punkt;9306;
21.07.03;#227.3049;;Schotter;Linie;9307;
;#227.3049;;Linienpunkt Schotter;Punkt;9307;
21.07.03;#227.3050;;Kies;Linie;9308;
;#227.3050;;Linienpunkt Kies;Punkt;9308;
21.07.03;#227.3051;;Sand;Linie;9309;
;#227.3051;;Linienpunkt Sand;Punkt;9309;
21.07.03;#227.3052;;befestigt aber durchlässig;Linie;9310;
;#227.3052;;Linienpunkt befestigt aber durchlässig;Punkt;9310;
21.07.03;#227.3053;;unbefestigt;Linie;9311;
;#227.3053;;Linienpunkt unbefestigt;Punkt;9311;
21.07.03;#227.3054;;Beton;Linie;9312;
;#227.3054;;Linienpunkt Beton;Punkt;9312;
21.07.03;#227.3055;;Splitt;Linie;9313;
;#227.3055;;Linienpunkt Splitt;Punkt;9313;
;#227.3056;;Mineralgemisch;Linie;9314;
;#227.3056;;Linienpunkt Mineralgemisch;Punkt;9314;
21.07.03;#227.3057;;Beet, Grünstreifen (Symbol);Punkt;9203;
21.07.03;#227.3058;;Sand;Punkt;9309;
07.04.09;#227.3059;;Altlasten (Grenze);Linie;9249;
07.04.09;#227.3059;;Linienpunkt Altlasten (Grenze);Punkt;9249;
07.04.09;#227.3060;;Müllbehälter / reisespezifischer Abfall;Punkt;9296;
20.06.02;#22B.3001;;Rand eines Gebüsches, Feldgehölzes (Gehölzrand);Punkt;8219;
;#231.3001;;Fahrbahnmitte (-achse);Linie;3060;
20.06.02;#231.3001;;Fahrbahnmitte (-achse);Punkt;3060;
;#231.3007;;Entwässerungsrinne;Linie;4380;
24.06.02;#231.3007;;Entwässerungsrinne;Punkt;4380;
;#231.3008;;Bordstein, Randstein;Linie;3300;
24.06.02;#231.3008;;Bordstein, Randstein;Punkt;3300;
;#231.3009;;Hochbord unten;Linie;3310;
24.06.02;#231.3009;;Hochbord unten;Punkt;3310;
;#231.3010;;Hochbord, oben;Linie;3313;
24.06.02;#231.3010;;Hochbord, oben;Punkt;3313;
;#231.3011;;Hochbord -abgesenkt-;Linie;3315;
24.06.02;#231.3011;;Hochbord -abgesenkt-;Punkt;3315;
;#231.3012;;Flachbord;Linie;3330;
24.06.02;#231.3012;;Flachbord;Punkt;3330;
;#231.3013;;Bankett, Seitenstreifen;Linie;3100;
24.06.02;#231.3013;;Bankett, Seitenstreifen;Punkt;3100;
